ID	LINE_IN_SOURCE	DOCULECT	CHINESE	CONCEPT	VALUE	SEGMENTS	CHARACTERS
5306	4664	Dancun	中國人口多	"""Double-subject"" sentence (eg. China is large in population)"	tSKuN33 kOk55 hO55 ?u33 Nin35	ʧ ɬ u ŋ ³³ + k ɔ k ⁵⁵ + h ɔ ⁵⁵ + ʔ u ³³ + ŋ i n ³⁵	中國好多人
2532	2428	Dancun	勞駕	"""I have troubled you"""	lO22 fan22 {ai33 ni33 lO55; ?u33 tiE32	l ɔ ²² + f a n ²² + æ a i ³³ + n i ³³ + l ɔ ⁵⁵	勞煩晒你咯；多謝
2533	2428	Dancun	勞駕	"""I have troubled you"""	lO22 fan22 {ai33 ni33 lO55; ?u33 tiE32	ʔ u ³³ + t i ɛ ³²	勞煩晒你咯；多謝
4936	4335	Dancun	我	"""I"" PRO 1st sg."	NOi33	ŋ ɔ i ³³	
2538	2434	Dancun	借光	"""allow me to pass"""	k'i33 tSak55 nit55 ?i55 NOi33 kO33	kʰ i ³³ + ʧ a k ⁵⁵ + n i t ⁵⁵ + ʔ i ⁵⁵ + ŋ ɔ i ³³ + k ɔ ³³	徛側滴畀我過
2536	2431	Dancun	隨便	"""at your convenience"""	t'ui22 peiN35	tʰ u i ²² + p e i ŋ ³⁵	
2539	2435	Dancun	別客氣	"""do not stand on ceremony"""	m22 sOi55 hak55 hi33	m ²² + s ɔ i ⁵⁵ + h a k ⁵⁵ + h i ³³	唔使客氣
3817	3503	Dancun	別動	"""don't move!"""	*m22 hau55 NKuk33	m ²² + h a u ⁵⁵ + ŋ ɬ u k ³³	
2542	2437	Dancun	留步	"""don't trouble yourself to come out"""	m22 sOi55 lO55	m ²² + s ɔ i ⁵⁵ + l ɔ ⁵⁵	唔使咯
5165	4528	Dancun	別！	"""don't!"""	m22 hO55 NKuk33	m ²² + h ɔ ⁵⁵ + ŋ ɬ u k ³³	唔好 ?
2537	2432	Dancun	對不起	"""excuse me"""	m22 kOi33	m ²² + k ɔ i ³³	
4938	4337	Dancun	他	"""he, she"" PRO 3rd sg."	k'ui33	kʰ u i ³³	
2530	2426	Dancun	你好	"""how are you"""	tO55 Sin22	t ɔ ⁵⁵ + ʃ i n ²²	早晨
2531	2427	Dancun	請問	"""may I ask"""	nEiN21 hiEu22 lu35 hiEN55 nai35 hui33 ja33	n ɛ i ŋ ²¹ + h i ɛ u ²² + l u ³⁵ + h i ɛ ŋ ⁵⁵ + n a i ³⁵ + h u i ³³ + j a ³³	? 條路向哪去呀
2540	2436	Dancun	請坐	"""please have a seat"""	t'u33 la55; t'u35 tSa22	tʰ u ³³ + l a ⁵⁵	坐啦；坐喳
2541	2436	Dancun	請坐	"""please have a seat"""	t'u33 la55; t'u35 tSa22	tʰ u ³⁵ + ʧ a ²²	坐啦；坐喳
4941	4341	Dancun	他們	"""they"" PRO 3rd pl."	k'iEk21	kʰ i ɛ k ²¹	
4937	4336	Dancun	你	"""you (thou)"" PRO 2nd sg."	ni33	n i ³³	
4940	4340	Dancun	你們	"""you (ye)"" PRO 2nd pl."	niEk21	n i ɛ k ²¹	
4788	4188	Dancun	幾月幾號（今天幾號）	"(to tell date) ""What day is today?"""	kim33 man21 ts'O33 ki55; kim33 mit21 mOt55 tK55 Nit33 tu55 ja33	k i m ³³ + m a n ²¹ + ʦʰ ɔ ³³ + k i ⁵⁵	今晚初幾今日乜 ? 日子呀
4789	4188	Dancun	幾月幾號（今天幾號）	"(to tell date) ""What day is today?"""	kim33 man21 ts'O33 ki55; kim33 mit21 mOt55 tK55 Nit33 tu55 ja33	k i m ³³ + m i t ²¹ + m ɔ t ⁵⁵ + t ɬ ⁵⁵ + ŋ i t ³³ + t u ⁵⁵ + j a ³³	今晚初幾今日乜 ? 日子呀
4790	4189	Dancun	問時候（幾點鐘）	"(to tell time) ""What time is it?"""	k'Oi21 \i35 mOt55 tK55 miau35	kʰ ɔ i ²¹ + ɕ i ³⁵ + m ɔ t ⁵⁵ + t ɬ ⁵⁵ + m i a u ³⁵	? 時乜 ? 錶
5160	4524	Dancun	（他完全沒吃）	"absolutive, ""he has not eaten at all"""	miEN22 hiEk33 ?O33; miEN22 kiEk33 kO33	m i ɛ ŋ ²² + h i ɛ k ³³ + ʔ ɔ ³³	唔曾吃到；唔曾吃過
5161	4524	Dancun	（他完全沒吃）	"absolutive, ""he has not eaten at all"""	miEN22 hiEk33 ?O33; miEN22 kiEk33 kO33	m i ɛ ŋ ²² + k i ɛ k ³³ + k ɔ ³³	唔曾吃到；唔曾吃過
5153	4520	Dancun	（再吃一點吧）	"additive, ""eat some more!"""	hiEk33 nai55 hiEm33 t\i33; ?aN33 hiEk33 nai55 tSi33	h i ɛ k ³³ + n a i ⁵⁵ + h i ɛ m ³³ + ʨ i ³³	吃 ? 添吱；更吃 ? 吱
5154	4520	Dancun	（再吃一點吧）	"additive, ""eat some more!"""	hiEk33 nai55 hiEm33 t\i33; ?aN33 hiEk33 nai55 tSi33	ʔ a ŋ ³³ + h i ɛ k ³³ + n a i ⁵⁵ + ʧ i ³³	吃 ? 添吱；更吃 ? 吱
5148	4514	Dancun	—過（你去過中國嗎？）	"completive, ""have you been to China?"""	hui33 kO33 miEN22	h u i ³³ + k ɔ ³³ + m i ɛ ŋ ²²	去過唔曾
5150	4517	Dancun	—下去（我們坐下去）	"continuative, ""let's continue working"""	tu33 lOk32 hui33 mK32 hO55 lO55	t u ³³ + l ɔ k ³² + h u i ³³ + m ɬ ³² + h ɔ ⁵⁵ + l ɔ ⁵⁵	做落去唔係好咯
5158	4523	Dancun	（一直賣這麼多錢）	"continuous, ""it has been selling for this much money"""	mai32 hOi33; tu33 hOi33 saN33 ji33	m a i ³² + h ɔ i ³³	賣開；做開生意
5159	4523	Dancun	（一直賣這麼多錢）	"continuous, ""it has been selling for this much money"""	mai32 hOi33; tu33 hOi33 saN33 ji33	t u ³³ + h ɔ i ³³ + s a ŋ ³³ + j i ³³	賣開；做開生意
5151	4518	Dancun	一…就（他一吃就吐）	"instantative, ""as soon as he eats, he vomits"""	hiEk33 t'in33 tK32 au55	h i ɛ k ³³ + tʰ i n ³³ + t ɬ ³² + a u ⁵⁵	吃親就嘔
5157	4522	Dancun	（五個蘋果吃了兩個）	"partitive, ""ate two apples out of five"""	hiEk33 kam55 liEN55 kOi33	h i ɛ k ³³ + k a m ⁵⁵ + l i ɛ ŋ ⁵⁵ + k ɔ i ³³	吃減兩個
5146	4513	Dancun	—有（你有沒有叫他來？）	"past, ""did you ask him to come?"""	jiu33 mO33 ham33 k'ui33 lOi22; ham33 k'ui33 lOi22 miEN22 a33	j i u ³³ + m ɔ ³³ + h a m ³³ + kʰ u i ³³ + l ɔ i ²²	有無喊佢來；喊佢來唔曾啊
5147	4513	Dancun	—有（你有沒有叫他來？）	"past, ""did you ask him to come?"""	jiu33 mO33 ham33 k'ui33 lOi22; ham33 k'ui33 lOi22 miEN22 a33	h a m ³³ + kʰ u i ³³ + l ɔ i ²² + m i ɛ ŋ ²² + a ³³	有無喊佢來；喊佢來唔曾啊
5145	4512	Dancun	—了（你吃了飯沒有？）	"perfective, ""have you eaten"""	hiEk33 K33 fan32 miEN22 (a33)	h i ɛ k ³³ + ɬ ³³ + f a n ³² + m i ɛ ŋ ²² + a ³³	吃 ? 飯唔曾 (啊)
5144	4511	Dancun	—著（他吃著飯）	"progressive, ""he is eating"""	hiEk33 kin55 fan32	h i ɛ k ³³ + k i n ⁵⁵ + f a n ³²	吃緊飯
5152	4519	Dancun	（他病好了，吃飯了）	"resumative, ""he has recovered and is eating rice now"""	hiEk33 fan33	h i ɛ k ³³ + f a n ³³	吃翻
5149	4515	Dancun	—著（拿著！）	"stative, ""hold this!"""	tSa33 kin55 k'ui33 va33	ʧ a ³³ + k i n ⁵⁵ + kʰ u i ³³ + v a ³³	緊佢哇
5155	4521	Dancun	（吃完這碗飯）	"terminative, ""finish eating the rice!"""	hiEk33 mOi22; (hiEk33 mOi22 kON51 hui33 ma33)	h i ɛ k ³³ + m ɔ i ²²	（吃埋 ? 去嘛）
5156	4521	Dancun	（吃完這碗飯）	"terminative, ""finish eating the rice!"""	hiEk33 mOi22; (hiEk33 mOi22 kON51 hui33 ma33)	h i ɛ k ³³ + m ɔ i ²² + k ɔ ŋ ⁵¹ + h u i ³³ + m a ³³	（吃埋 ? 去嘛）
3815	3502	Dancun	喊救命	"to call ""help!"""	*tiu33 kiu33 miEN32; kiu33   miEN32 va33	t i u ³³ + k i u ³³ + m i ɛ ŋ ³²	叫救命
3816	3502	Dancun	喊救命	"to call ""help!"""	*tiu33 kiu33 miEN32; kiu33   miEN32 va33	k i u ³³ + m i ɛ ŋ ³² + v a ³³	叫救命
2486	2385	Dancun	打醮	"to celebrate the feast of ""All souls"""	?a55 tiEu33	ʔ a ⁵⁵ + t i ɛ u ³³	
2241	2169	Dancun	猜拳	"to play mora or ""guess fingers"""	t\'ai33 mOi35	ʨʰ a i ³³ + m ɔ i ³⁵	
206	222	Dancun	（動物）產子	(animals) to give birth to the young	\an33 tOi55	ɕ a n ³³ + t ɔ i ⁵⁵	生仔
471	492	Dancun	回欄	(animals) to return to the pen	mOi22 ?au21	m ɔ i ²² + ʔ a u ²¹	埋竇
4553	4005	Dancun	懦弱	(character) weak	*Nun33 NiEk32; mO33 {iEN55 tiEN32	ŋ u n ³³ + ŋ i ɛ k ³²	軟弱；無想像
4554	4005	Dancun	懦弱	(character) weak	*Nun33 NiEk32; mO33 {iEN55 tiEN32	m ɔ ³³ + æ i ɛ ŋ ⁵⁵ + t i ɛ ŋ ³²	軟弱；無想像
331	342	Dancun	（雞）翻食物	(chicken) to scratch the feed	hiE33; hia33	h i ɛ ³³	
332	342	Dancun	（雞）翻食物	(chicken) to scratch the feed	hiE33; hia33	h i a ³³	
4567	4014	Dancun	伶俐	(children) smart and quick	leiN22 li35	l e i ŋ ²² + l i ³⁵	
4278	3804	Dancun	走樣	(clothes) deformed	*peiN33 jiEN35	p e i ŋ ³³ + j i ɛ ŋ ³⁵	變樣
1244	1237	Dancun	（衣服）縮	(clothes) to shrink	\Kuk55 \ui55; SKuk33 \ui55	ɕ ɬ u k ⁵⁵ + ɕ u i ⁵⁵	縮水
1245	1237	Dancun	（衣服）縮	(clothes) to shrink	\Kuk55 \ui55; SKuk33 \ui55	ʃ ɬ u k ³³ + ɕ u i ⁵⁵	縮水
1199	1205	Dancun	（衣服）破	(clothes) torn	lan32	l a n ³²	爛
1200	1206	Dancun	（衣服）有破洞	(clothes) with holes	t\'un33 k'KuN55	ʨʰ u n ³³ + kʰ ɬ u ŋ ⁵⁵	穿孔
317	331	Dancun	啼	(cock) to crow	kai33 hai22	k a i ³³ + h a i ²²	
835	856	Dancun	乾飯	(dry or drained) cooked rice	fan32 kOn21	f a n ³² + k ɔ n ²¹	
4192	3751	Dancun	（雞蛋）臭	(eggs) rotten smell	nam33; *nEm33	n a m ³³	
4193	3751	Dancun	（雞蛋）臭	(eggs) rotten smell	nam33; *nEm33	n ɛ m ³³	
2430	2340	Dancun	團年	(family) to gather together for New Year's Eve	hOn22 neiN22	h ɔ n ²² + n e i ŋ ²²	
4689	4091	Dancun	有福氣	(flattery) blessed	hiEN55 ?ak33 hiEk33	h i ɛ ŋ ⁵⁵ + ʔ a k ³³ + h i ɛ k ³³	享得吃
4186	3747	Dancun	新鮮	(food) fresh	saN33 {eiN33	s a ŋ ³³ + æ e i ŋ ³³	生鮮
4379	3870	Dancun	（榖子）虛	(grain) hollow	{am33 lip33 nOn55	æ a m ³³ + l i p ³³ + n ɔ n ⁵⁵	三粒 ?
4380	3871	Dancun	（榖子）實	(grain) solid	keik33	k e i k ³³	結
4190	3750	Dancun	（火腿）臭	(ham) stale smell	jeik55; *kiEk33	j e i k ⁵⁵	
4191	3750	Dancun	（火腿）臭	(ham) stale smell	jeik55; *kiEk33	k i ɛ k ³³	
4277	3803	Dancun	崎形	(human being) deformed	*ku55 kai33	k u ⁵⁵ + k a i ³³	古怪
4130	3710	Dancun	燙	(it feels) hot	nat33; hKuN22	n a t ³³	紅
4131	3710	Dancun	燙	(it feels) hot	nat33; hKuN22	h ɬ u ŋ ²²	紅
512	533	Dancun	（葉子）遮	(leaves) to screen	t\iE33	ʨ i ɛ ³³	
4413	3893	Dancun	稠（稀飯）	(liquid) thick	nO22; kit32; nO22 kaN33 K33	n ɔ ²²	
4414	3893	Dancun	稠（稀飯）	(liquid) thick	nO22; kit32; nO22 kaN33 K33	k i t ³²	
4415	3893	Dancun	稠（稀飯）	(liquid) thick	nO22; kit32; nO22 kaN33 K33	n ɔ ²² + k a ŋ ³³ + ɬ ³³	
4411	3892	Dancun	稀	(liquid) thin	hi33; hi33 p'iEN55 p'iEN55	h i ³³	
4412	3892	Dancun	稀	(liquid) thin	hi33; hi33 p'iEN55 p'iEN55	h i ³³ + pʰ i ɛ ŋ ⁵⁵ + pʰ i ɛ ŋ ⁵⁵	
4807	4205	Dancun	一兒（這兒，那兒）	(localizer)	(?O33 niEk55) tS'ui55	ʔ ɔ ³³ + n i ɛ k ⁵⁵ + ʧʰ u i ⁵⁵	（到 ? ）處
2451	2360	Dancun	續弦	(man) to remarry	hu55 kO33	h u ⁵⁵ + k ɔ ³³	討過
4188	3749	Dancun	（肉）臭	(meat) rotten	*t\'iu33; nam33	ʨʰ i u ³³	
4189	3749	Dancun	（肉）臭	(meat) rotten	*t\'iu33; nam33	n a m ³³	
4351	3854	Dancun	（肉）韌	(meat) tough	Nin33; Nin33 ma22 E33	ŋ i n ³³	
4352	3854	Dancun	（肉）韌	(meat) tough	Nin33; Nin33 ma22 E33	ŋ i n ³³ + m a ²² + ɛ ³³	
3282	3059	Dancun	（藥）有效	(medicine) effective	keiN33 hau32; jiu33 kKuN33 hau32	k e i ŋ ³³ + h a u ³²	見效；有功效
3283	3059	Dancun	（藥）有效	(medicine) effective	keiN33 hau32; jiu33 kKuN33 hau32	j i u ³³ + k ɬ u ŋ ³³ + h a u ³²	見效；有功效
366	372	Dancun	（蚊子）叮	(mosquito) to bite	t\ui33	ʨ u i ³³	錐
4349	3852	Dancun	（花生米）皮	(nuts) soft	Nun32	ŋ u n ³²	
4195	3753	Dancun	餿	(of cereals) musty smell	hON55; *kiu32	h ɔ ŋ ⁵⁵	舊
4196	3753	Dancun	餿	(of cereals) musty smell	hON55; *kiu32	k i u ³²	舊
4223	3769	Dancun	短	(of length) short	?On55; *?uon55; ?On55 tSut55 tSut55	ʔ ɔ n ⁵⁵	
4224	3769	Dancun	短	(of length) short	?On55; *?uon55; ?On55 tSut55 tSut55	ʔ u o n ⁵⁵	
4225	3769	Dancun	短	(of length) short	?On55; *?uon55; ?On55 tSut55 tSut55	ʔ ɔ n ⁵⁵ + ʧ u t ⁵⁵ + ʧ u t ⁵⁵	
4161	3733	Dancun	（甘草）甘	(of licorice root) sweet and pleasant	*liEN22; liEN22 t'im33 K33	l i ɛ ŋ ²²	涼；涼浸 ?
4162	3733	Dancun	（甘草）甘	(of licorice root) sweet and pleasant	*liEN22; liEN22 t'im33 K33	l i ɛ ŋ ²² + tʰ i m ³³ + ɬ ³³	涼；涼浸 ?
2464	2370	Dancun	做壽	(old people) to celebrate birthday	tu33 \iu32; tu33 hO22 \iu32	t u ³³ + ɕ i u ³²	做桃壽
2465	2370	Dancun	做壽	(old people) to celebrate birthday	tu33 \iu32; tu33 hO22 \iu32	t u ³³ + h ɔ ²² + ɕ i u ³²	做桃壽
1509	1486	Dancun	（漆）剝落	(paint) to peel off	hOt33 jiu35	h ɔ t ³³ + j i u ³⁵	脫油
4149	3723	Dancun	（人）舒服	(person) comfortable	ti32 tOi32	t i ³² + t ɔ i ³²	自在
4681	4088	Dancun	不整齊	(person) untidy	liE21 fiE21; *la21 tSa55; lai22 sai22; lat32 t'at33	l i ɛ ²¹ + f i ɛ ²¹	
4682	4088	Dancun	不整齊	(person) untidy	liE21 fiE21; *la21 tSa55; lai22 sai22; lat32 t'at33	l a ²¹ + ʧ a ⁵⁵	
4683	4088	Dancun	不整齊	(person) untidy	liE21 fiE21; *la21 tSa55; lai22 sai22; lat32 t'at33	l a i ²² + s a i ²²	
4684	4088	Dancun	不整齊	(person) untidy	liE21 fiE21; *la21 tSa55; lai22 sai22; lat32 t'at33	l a t ³² + tʰ a t ³³	
864	887	Dancun	（豬）肚	(pig) stomach	t\i33 ?u55	ʨ i ³³ + ʔ u ⁵⁵	
868	891	Dancun	（豬）肝	(pork) liver	kOn35	k ɔ n ³⁵	
866	889	Dancun	（豬）舌頭	(pork) tongue	li35	l i ³⁵	
4194	3752	Dancun	（飯）餿	(rice) bad	{Kuk55	æ ɬ u k ⁵⁵	
4421	3898	Dancun	（飯）又涼又硬	(rice) cold and hard	\aN33 liEN33 kON21	ɕ a ŋ ³³ + l i ɛ ŋ ³³ + k ɔ ŋ ²¹	生冷鋼
630	672	Dancun	（稻子）開花	(rice) to bloom	vO22 hOi33 fa33	v ɔ ²² + h ɔ i ³³ + f a ³³	禾開花
4445	3922	Dancun	難走，崎嶇	(road) rough	k'i33 k'ui35	kʰ i ³³ + kʰ u i ³⁵	
541	562	Dancun	（樹根）破壞	(root) to rot	lan32	l a n ³²	爛
455	477	Dancun	（成群之）小魚	(school of) small fish	pak32 Nan55 k'in21 k'ON35	p a k ³² + ŋ a n ⁵⁵ + kʰ i n ²¹ + kʰ ɔ ŋ ³⁵	白眼 ?   ?
438	450	Dancun	蜆（海）	(sea) clam	heiN55	h e i ŋ ⁵⁵	
372	377	Dancun	（蜘蛛）張網	(spider) to spread a web	tiEk33 mON55	t i ɛ k ³³ + m ɔ ŋ ⁵⁵	織網
4416	3894	Dancun	釅（茶濃）	(tea) thick	NKuN22	ŋ ɬ u ŋ ²²	
4438	3917	Dancun	標緻，別緻	(things) cute	kut55 tu55	k u t ⁵⁵ + t u ⁵⁵	
4402	3887	Dancun	亂	(things) disorderly	lOn32; hui22 hui22 lOn32 lOn32; hui22 hui22 {ui33 {ui33	l ɔ n ³²	?   ? 碎碎
4403	3887	Dancun	亂	(things) disorderly	lOn32; hui22 hui22 lOn32 lOn32; hui22 hui22 {ui33 {ui33	h u i ²² + h u i ²² + l ɔ n ³² + l ɔ n ³²	?   ? 碎碎
4404	3887	Dancun	亂	(things) disorderly	lOn32; hui22 hui22 lOn32 lOn32; hui22 hui22 {ui33 {ui33	h u i ²² + h u i ²² + æ u i ³³ + æ u i ³³	?   ? 碎碎
4670	4079	Dancun	連吞帶嚥	(to eat) in a hurry	lam22 k'am22; *lEm22 k'Em22	l a m ²² + kʰ a m ²²	林禽
4671	4079	Dancun	連吞帶嚥	(to eat) in a hurry	lam22 k'am22; *lEm22 k'Em22	l ɛ m ²² + kʰ ɛ m ²²	林禽
4418	3896	Dancun	（菜）爛	(vegetables) spoiled	lan32	l a n ³²	
4353	3855	Dancun	（菜）老	(vegetables) tough, old, not tender	lO55	l ɔ ⁵⁵	
1094	1115	Dancun	水開了	(water) boils	\ui55 kun55	ɕ u i ⁵⁵ + k u n ⁵⁵	水滾
115	124	Dancun	（水）清	(water) clear	t'eiN33; t'iEN33	tʰ e i ŋ ³³	
116	124	Dancun	（水）清	(water) clear	t'eiN33; t'iEN33	tʰ i ɛ ŋ ³³	
109	118	Dancun	（水）沖	(water) to wash	t\'KuN33	ʨʰ ɬ u ŋ ³³	
28	28	Dancun	（風）吹	(wind) to blow	t\'ui33	ʨʰ u i ³³	
32	34	Dancun	（風）捲	(wind) to whirl	kun55; tun32	k u n ⁵⁵	捲，旋
33	34	Dancun	（風）捲	(wind) to whirl	kun55; tun32	t u n ³²	捲，旋
1001	1027	Dancun	切	(with downward motion) to cut	t'eik33	tʰ e i k ³³	
2458	2366	Dancun	坐月子	(woman after giving birth) to be confined	t'u33 Nut21; kim33 hau55; (Nut32 p'u21)	tʰ u ³³ + ŋ u t ²¹	禁 口 ；（月婆）
2459	2366	Dancun	坐月子	(woman after giving birth) to be confined	t'u33 Nut21; kim33 hau55; (Nut32 p'u21)	k i m ³³ + h a u ⁵⁵	禁 口 ；（月婆）
2460	2366	Dancun	坐月子	(woman after giving birth) to be confined	t'u33 Nut21; kim33 hau55; (Nut32 p'u21)	ŋ u t ³² + pʰ u ²¹	禁 口 ；（月婆）
2452	2361	Dancun	再嫁	(woman) to remarry	fan33 hau22 ka33	f a n ³³ + h a u ²² + k a ³³	番頭嫁
4417	3895	Dancun	（木）糟	(wood) mildewed and spoilt	lan32	l a n ³²	爛
3356	3102	Dancun	收口	(wound) to heal	*mOi22 hEi55	m ɔ i ²² + h ɛ i ⁵⁵	埋口
1954	1892	Dancun	擔	100 catties	?am33	ʔ a m ³³	
4734	4135	Dancun	酉	10th earthly branch	jiu21	j i u ²¹	
4723	4124	Dancun	癸	10th heavenly stem	ki33	k i ³³	
4735	4136	Dancun	戌	11th earthly branch	{ut55	æ u t ⁵⁵	
4736	4137	Dancun	亥	12th earthly branch	hOi32	h ɔ i ³²	
4739	4140	Dancun	臘月	12th lunar month	neiN22 mi55	n e i ŋ ²² + m i ⁵⁵	年尾
4749	4149	Dancun	十五	15th day of the lunar month	\ip32 m55; mON32	ɕ i p ³² + m ⁵⁵	望
4750	4149	Dancun	十五	15th day of the lunar month	\ip32 m55; mON32	m ɔ ŋ ³²	望
4747	4148	Dancun	初一	1st day of the lunar month	ts'O33 jit55; sOk55	ʦʰ ɔ ³³ + j i t ⁵⁵	朔
4748	4148	Dancun	初一	1st day of the lunar month	ts'O33 jit55; sOk55	s ɔ k ⁵⁵	朔
4725	4126	Dancun	子	1st earthly branch	tu55	t u ⁵⁵	
4714	4115	Dancun	甲	1st heavenly stem	kap55	k a p ⁵⁵	
4738	4139	Dancun	正月	1st lunar month	tseiN33 Nut32	ʦ e i ŋ ³³ + ŋ u t ³²	
4783	4183	Dancun	更	2-hour interval of a night watch	(jit55) kaN33	j i t ⁵⁵ + k a ŋ ³³	（一）更
4726	4127	Dancun	丑	2nd earthly branch	t\'iu55	ʨʰ i u ⁵⁵	
4715	4116	Dancun	乙	2nd heavenly stem	jOt55	j ɔ t ⁵⁵	
2410	2328	Dancun	清明節	3rd day of the 3rd moon, Tomb sweeping day	t'eiN33 meiN22; {am33 Nut32 {am35 (tSeiN33 pau33 kOk35; pu33 k'in22 haN22 jOn35)	tʰ e i ŋ ³³ + m e i ŋ ²²	三月三　（蒸包角，?  ?  ? 丸）
2411	2328	Dancun	清明節	3rd day of the 3rd moon, Tomb sweeping day	t'eiN33 meiN22; {am33 Nut32 {am35 (tSeiN33 pau33 kOk35; pu33 k'in22 haN22 jOn35)	æ a m ³³ + ŋ u t ³² + æ a m ³⁵ + ʧ e i ŋ ³³ + p a u ³³ + k ɔ k ³⁵	三月三　（蒸包角，?  ?  ? 丸）
2412	2328	Dancun	清明節	3rd day of the 3rd moon, Tomb sweeping day	t'eiN33 meiN22; {am33 Nut32 {am35 (tSeiN33 pau33 kOk35; pu33 k'in22 haN22 jOn35)	p u ³³ + kʰ i n ²² + h a ŋ ²² + j ɔ n ³⁵	三月三　（蒸包角，?  ?  ? 丸）
4727	4128	Dancun	寅	3rd earthly branch	Nin22	ŋ i n ²²	
4716	4117	Dancun	丙	3rd heavenly stem	peiN55	p e i ŋ ⁵⁵	
4728	4129	Dancun	卯	4th earthly branch	mau21	m a u ²¹	
4717	4118	Dancun	丁	4th heavenly stem	?eiN33	ʔ e i ŋ ³³	
2415	2330	Dancun	端午節	5th day of the 5th lunar month, Dragon Boat Festival	N55 Nut32 teik33; m55 Nut32 tS'O33 m55	ŋ ⁵⁵ + ŋ u t ³² + t e i k ³³	五月節；五月初五
