ID	CHARACTER	PINYIN	DOCULECT	SHIJING_NAME	SHJING_NUMBER	STANZA	VERSE	RHYMEID	POSITION	TEXT	ORDER	SOURCE
157	子	zi	Old_Chinese	國風·周南·汝墳	10	10.2	2		3	既見君子、	1	Baxter1992
158	棄	qì	Old_Chinese	國風·周南·汝墳	10	10.2	2	10.2.a	3	不我遐棄。	2	Baxter1992
159	尾	wěi	Old_Chinese	國風·周南·汝墳	10	10.3	1	10.3.a	3	魴魚赬尾、	1	Baxter1992
160	燬	huǐ	Old_Chinese	國風·周南·汝墳	10	10.3	1	10.3.a	3	王室如燬。	2	Baxter1992
161	燬	huǐ	Old_Chinese	國風·周南·汝墳	10	10.3	2	10.3.a	3	雖則如燬、	1	Baxter1992
162	邇	ěr	Old_Chinese	國風·周南·汝墳	10	10.3	2	10.3.a	3	父母孔邇。	2	Baxter1992
1616	明	míng	Old_Chinese	國風·齊風·東方未明	100	100.1	1	100.1.a	3	東方未明、	1	Baxter1992
1617	裳	shang	Old_Chinese	國風·齊風·東方未明	100	100.1	1	100.1.a	3	顛倒衣裳。	2	Baxter1992
1618	倒	dào	Old_Chinese	國風·齊風·東方未明	100	100.1	2	100.1.b	2	顛之倒之、	1	Baxter1992
1619	召	zhào	Old_Chinese	國風·齊風·東方未明	100	100.1	2	100.1.b	2	自公召之。	2	Baxter1992
1620	晞	xī	Old_Chinese	國風·齊風·東方未明	100	100.2	1	100.2.a	3	東方未晞、	1	Baxter1992
1621	衣	yī	Old_Chinese	國風·齊風·東方未明	100	100.2	1	100.2.a	3	顛倒裳衣。	2	Baxter1992
1622	顛	diān	Old_Chinese	國風·齊風·東方未明	100	100.2	2	100.2.b	2	倒之顛之、	1	Baxter1992
1623	令	lìng	Old_Chinese	國風·齊風·東方未明	100	100.2	2	100.2.b	2	自公令之。	2	Baxter1992
1624	圃	pǔ	Old_Chinese	國風·齊風·東方未明	100	100.3	1	100.3.a	3	折柳樊圃、	1	Baxter1992
1625	瞿	qú	Old_Chinese	國風·齊風·東方未明	100	100.3	1	100.3.a	2	狂夫瞿瞿。	2	Baxter1992
1626	瞿	qú	Old_Chinese	國風·齊風·東方未明	100	100.3	1	100.3.a	2	狂夫瞿瞿。	2	Baxter1992
1627	夜	yè	Old_Chinese	國風·齊風·東方未明	100	100.3	2	100.3.a	3	不能辰夜、	1	Baxter1992
1628	莫	mò	Old_Chinese	國風·齊風·東方未明	100	100.3	2	100.3.a	3	不夙則莫。	2	Baxter1992
1629	崔	cuī	Old_Chinese	國風·齊風·南山	101	101.1	1	101.1.a	2	南山崔崔、	1	Baxter1992
1630	崔	cuī	Old_Chinese	國風·齊風·南山	101	101.1	1	101.1.a	2	南山崔崔、	1	Baxter1992
1631	綏	suī	Old_Chinese	國風·齊風·南山	101	101.1	1	101.1.a	2	雄狐綏綏。	2	Baxter1992
1632	綏	suī	Old_Chinese	國風·齊風·南山	101	101.1	1	101.1.a	2	雄狐綏綏。	2	Baxter1992
1633	蕩	dàng	Old_Chinese	國風·齊風·南山	101	101.1	2		3	魯道有蕩、	1	Baxter1992
1634	歸	guī	Old_Chinese	國風·齊風·南山	101	101.1	2	101.1.a	3	齊子由歸。	2	Baxter1992
1635	歸	guī	Old_Chinese	國風·齊風·南山	101	101.1	3	101.1.b	2	既曰歸止、	1	Baxter1992
1636	懷	huái	Old_Chinese	國風·齊風·南山	101	101.1	3	101.1.b	2	曷又懷止。	2	Baxter1992
1637	兩	liǎng	Old_Chinese	國風·齊風·南山	101	101.2	1	101.2.a	3	葛屨五兩、	1	Baxter1992
1638	雙	shuāng	Old_Chinese	國風·齊風·南山	101	101.2	1	101.2.b	2	冠緌雙止。	2	Baxter1992
1639	蕩	dàng	Old_Chinese	國風·齊風·南山	101	101.2	2	101.2.a	3	魯道有蕩、	1	Baxter1992
1640	庸	yōng	Old_Chinese	國風·齊風·南山	101	101.2	2	101.2.b	2	齊子庸止。	2	Baxter1992
1641	庸	yōng	Old_Chinese	國風·齊風·南山	101	101.2	3	101.2.b	2	既曰庸止、	1	Baxter1992
1642	從	cóng	Old_Chinese	國風·齊風·南山	101	101.2	3	101.2.b	2	曷又從止。	2	Baxter1992
1643	何	hé	Old_Chinese	國風·齊風·南山	101	101.3	1		4	蓺麻如之何、	1	Baxter1992
1644	畝	mǔ	Old_Chinese	國風·齊風·南山	101	101.3	1	101.3.a	3	衡從其畝。	2	Baxter1992
1645	何	hé	Old_Chinese	國風·齊風·南山	101	101.3	2		4	取妻如之何、	1	Baxter1992
1646	母	mǔ	Old_Chinese	國風·齊風·南山	101	101.3	2	101.3.a	3	必告父母。	2	Baxter1992
1647	告	gào	Old_Chinese	國風·齊風·南山	101	101.3	3	101.3.b	2	既曰告止、	1	Baxter1992
1648	鞠	jū	Old_Chinese	國風·齊風·南山	101	101.3	3	101.3.b	2	曷又鞠止。	2	Baxter1992
1649	何	hé	Old_Chinese	國風·齊風·南山	101	101.4	1		4	析薪如之何、	1	Baxter1992
1650	克	kè	Old_Chinese	國風·齊風·南山	101	101.4	1	101.4.a	3	匪斧不克。	2	Baxter1992
1651	何	hé	Old_Chinese	國風·齊風·南山	101	101.4	2		4	取妻如之何、	1	Baxter1992
1652	得	dé	Old_Chinese	國風·齊風·南山	101	101.4	2	101.4.a	3	匪媒不得。	2	Baxter1992
1653	得	dé	Old_Chinese	國風·齊風·南山	101	101.4	3	101.4.b	2	既曰得止、	1	Baxter1992
1654	極	jí	Old_Chinese	國風·齊風·南山	101	101.4	3	101.4.b	2	曷又極止。	2	Baxter1992
1655	田	tián	Old_Chinese	國風·齊風·甫田	102	102.1	1	102.1.a	1	無田甫田、	1	Baxter1992
1656	驕	jiāo	Old_Chinese	國風·齊風·甫田	102	102.1	1	102.1.b	2	維莠驕驕。	2	Baxter1992
1657	驕	jiāo	Old_Chinese	國風·齊風·甫田	102	102.1	1	102.1.b	2	維莠驕驕。	2	Baxter1992
1658	人	rén	Old_Chinese	國風·齊風·甫田	102	102.1	2	102.1.a	3	無思遠人、	1	Baxter1992
1659	忉	dāo	Old_Chinese	國風·齊風·甫田	102	102.1	2	102.1.b	2	勞心忉忉。	2	Baxter1992
1660	忉	dāo	Old_Chinese	國風·齊風·甫田	102	102.1	2	102.1.b	2	勞心忉忉。	2	Baxter1992
1661	田	tián	Old_Chinese	國風·齊風·甫田	102	102.2	1	102.2.a	1	無田甫田、	1	Baxter1992
1662	桀	jié	Old_Chinese	國風·齊風·甫田	102	102.2	1	102.2.b	2	維莠桀桀。	2	Baxter1992
1663	桀	jié	Old_Chinese	國風·齊風·甫田	102	102.2	1	102.2.b	2	維莠桀桀。	2	Baxter1992
1664	人	rén	Old_Chinese	國風·齊風·甫田	102	102.2	2	102.2.a	3	無思遠人、	1	Baxter1992
1665	怛	dá	Old_Chinese	國風·齊風·甫田	102	102.2	2	102.2.b	2	勞心怛怛。	2	Baxter1992
1666	怛	dá	Old_Chinese	國風·齊風·甫田	102	102.2	2	102.2.b	2	勞心怛怛。	2	Baxter1992
1667	婉	wǎn	Old_Chinese	國風·齊風·甫田	102	102.3	1	102.3.a	0	婉兮孌兮、	1	Baxter1992
1668	孌	luán	Old_Chinese	國風·齊風·甫田	102	102.3	1	102.3.a	2	婉兮孌兮、	1	Baxter1992
1669	丱	guàn	Old_Chinese	國風·齊風·甫田	102	102.3	1	102.3.b	2	總角丱兮。	2	Baxter1992
1670	見	jiàn	Old_Chinese	國風·齊風·甫田	102	102.3	2		2	未幾見兮、	1	Baxter1992
1671	弁	biàn	Old_Chinese	國風·齊風·甫田	102	102.3	2	102.3.b	2	突而弁兮。	2	Baxter1992
1672	令	lìng	Old_Chinese	國風·齊風·盧令	103	103.1	1	103.1.a	1	盧令令、	1	Baxter1992
1673	令	lìng	Old_Chinese	國風·齊風·盧令	103	103.1	1	103.1.a	1	盧令令、	1	Baxter1992
1674	仁	rén	Old_Chinese	國風·齊風·盧令	103	103.1	1	103.1.a	4	其人美且仁。	2	Baxter1992
1675	環	huán	Old_Chinese	國風·齊風·盧令	103	103.2	1	103.2.a	2	盧重環、	1	Baxter1992
1676	鬈	quán	Old_Chinese	國風·齊風·盧令	103	103.2	1	103.2.a	4	其人美且鬈。	2	Baxter1992
1677	鋂	méi	Old_Chinese	國風·齊風·盧令	103	103.3	1	103.3.a	2	盧重鋂、	1	Baxter1992
1678	偲	cāi	Old_Chinese	國風·齊風·盧令	103	103.3	1	103.3.a	4	其人美且偲。	2	Baxter1992
1679	梁	liáng	Old_Chinese	國風·齊風·敝笱	104	104.1	1		3	敝笱在梁、	1	Baxter1992
1680	鰥	guān	Old_Chinese	國風·齊風·敝笱	104	104.1	1	104.1.a	3	其魚魴鰥。	2	Baxter1992
1681	歸	guī	Old_Chinese	國風·齊風·敝笱	104	104.1	2		2	齊子歸止、	1	Baxter1992
1682	雲	yún	Old_Chinese	國風·齊風·敝笱	104	104.1	2	104.1.a	3	其從如雲。	2	Baxter1992
1683	梁	liáng	Old_Chinese	國風·齊風·敝笱	104	104.2	1		3	敝笱在梁、	1	Baxter1992
1684	鱮	xù	Old_Chinese	國風·齊風·敝笱	104	104.2	1	104.2.a	3	其魚魴鱮。	2	Baxter1992
1685	歸	guī	Old_Chinese	國風·齊風·敝笱	104	104.2	2		2	齊子歸止、	1	Baxter1992
1686	雨	yǔ	Old_Chinese	國風·齊風·敝笱	104	104.2	2	104.2.a	3	其從如雨。	2	Baxter1992
1687	梁	liáng	Old_Chinese	國風·齊風·敝笱	104	104.3	1		3	敝笱在梁、	1	Baxter1992
1688	唯	wéi	Old_Chinese	國風·齊風·敝笱	104	104.3	1	104.3.a	2	其魚唯唯。	2	Baxter1992
1689	唯	wéi	Old_Chinese	國風·齊風·敝笱	104	104.3	1	104.3.a	2	其魚唯唯。	2	Baxter1992
1690	歸	guī	Old_Chinese	國風·齊風·敝笱	104	104.3	2		2	齊子歸止、	1	Baxter1992
1691	水	shuǐ	Old_Chinese	國風·齊風·敝笱	104	104.3	2	104.3.a	3	其從如水。	2	Baxter1992
1692	薄	báo	Old_Chinese	國風·齊風·載驅	105	105.1	1	105.1.a	2	載驅薄薄、	1	Baxter1992
1693	薄	báo	Old_Chinese	國風·齊風·載驅	105	105.1	1	105.1.a	2	載驅薄薄、	1	Baxter1992
1694	鞹	kuò	Old_Chinese	國風·齊風·載驅	105	105.1	1	105.1.a	3	簟茀朱鞹。	2	Baxter1992
1695	蕩	dàng	Old_Chinese	國風·齊風·載驅	105	105.1	2		3	魯道有蕩、	1	Baxter1992
1696	夕	xī	Old_Chinese	國風·齊風·載驅	105	105.1	2	105.1.a	3	齊子發夕。	2	Baxter1992
1697	濟	jì	Old_Chinese	國風·齊風·載驅	105	105.2	1	105.2.a	2	四驪濟濟、	1	Baxter1992
1698	濟	jì	Old_Chinese	國風·齊風·載驅	105	105.2	1	105.2.a	2	四驪濟濟、	1	Baxter1992
1699	濔	mǐ	Old_Chinese	國風·齊風·載驅	105	105.2	1	105.2.a	2	垂轡濔濔。	2	Baxter1992
1700	濔	mǐ	Old_Chinese	國風·齊風·載驅	105	105.2	1	105.2.a	2	垂轡濔濔。	2	Baxter1992
1701	蕩	dàng	Old_Chinese	國風·齊風·載驅	105	105.2	2		3	魯道有蕩、	1	Baxter1992
1702	弟	dì	Old_Chinese	國風·齊風·載驅	105	105.2	2	105.2.a	3	齊子豈弟。	2	Baxter1992
1703	湯	tāng	Old_Chinese	國風·齊風·載驅	105	105.3	1	105.3.a	2	汶水湯湯、	1	Baxter1992
1704	湯	tāng	Old_Chinese	國風·齊風·載驅	105	105.3	1	105.3.a	2	汶水湯湯、	1	Baxter1992
1705	彭	péng	Old_Chinese	國風·齊風·載驅	105	105.3	1	105.3.a	2	行人彭彭。	2	Baxter1992
1706	彭	péng	Old_Chinese	國風·齊風·載驅	105	105.3	1	105.3.a	2	行人彭彭。	2	Baxter1992
1707	蕩	dàng	Old_Chinese	國風·齊風·載驅	105	105.3	2		3	魯道有蕩、	1	Baxter1992
1708	翔	xiáng	Old_Chinese	國風·齊風·載驅	105	105.3	2	105.3.a	3	齊子翱翔。	2	Baxter1992
1709	滔	tāo	Old_Chinese	國風·齊風·載驅	105	105.4	1	105.4.a	2	汶水滔滔、	1	Baxter1992
1710	滔	tāo	Old_Chinese	國風·齊風·載驅	105	105.4	1	105.4.a	2	汶水滔滔、	1	Baxter1992
1711	儦	biāo	Old_Chinese	國風·齊風·載驅	105	105.4	1	105.4.a	2	行人儦儦。	2	Baxter1992
1712	儦	biāo	Old_Chinese	國風·齊風·載驅	105	105.4	1	105.4.a	2	行人儦儦。	2	Baxter1992
1713	蕩	dàng	Old_Chinese	國風·齊風·載驅	105	105.4	2		3	魯道有蕩、	1	Baxter1992
1714	敖	áo	Old_Chinese	國風·齊風·載驅	105	105.4	2	105.4.a	3	齊子游敖。	2	Baxter1992
1715	昌	chāng	Old_Chinese	國風·齊風·猗嗟	106	106.1	1	106.1.a	2	猗嗟昌兮、	1	Baxter1992
1716	長	zhǎng	Old_Chinese	國風·齊風·猗嗟	106	106.1	1	106.1.a	2	頎而長兮、	2	Baxter1992
1717	揚	yáng	Old_Chinese	國風·齊風·猗嗟	106	106.1	1	106.1.a	2	抑若揚兮、	3	Baxter1992
1718	揚	yáng	Old_Chinese	國風·齊風·猗嗟	106	106.1	1	106.1.a	2	美目揚兮。	4	Baxter1992
1719	蹌	qiāng	Old_Chinese	國風·齊風·猗嗟	106	106.1	2	106.1.a	2	巧趨蹌兮、	1	Baxter1992
1720	臧	zāng	Old_Chinese	國風·齊風·猗嗟	106	106.1	2	106.1.a	2	射則臧兮。	2	Baxter1992
1721	名	míng	Old_Chinese	國風·齊風·猗嗟	106	106.2	1	106.2.a	2	猗嗟名兮、	1	Baxter1992
1722	清	qīng	Old_Chinese	國風·齊風·猗嗟	106	106.2	1	106.2.a	2	美目清兮。	2	Baxter1992
1723	成	chéng	Old_Chinese	國風·齊風·猗嗟	106	106.2	2	106.2.a	2	儀既成兮。	1	Baxter1992
1724	侯	hóu	Old_Chinese	國風·齊風·猗嗟	106	106.2	3		3	終日射侯、	1	Baxter1992
1725	正	zhèng	Old_Chinese	國風·齊風·猗嗟	106	106.2	3	106.2.a	2	不出正兮。	2	Baxter1992
1726	甥	shēng	Old_Chinese	國風·齊風·猗嗟	106	106.2	4	106.2.a	2	展我甥兮。	1	Baxter1992
1727	孌	luán	Old_Chinese	國風·齊風·猗嗟	106	106.3	1	106.3.a	2	猗嗟孌兮、	1	Baxter1992
1728	婉	wǎn	Old_Chinese	國風·齊風·猗嗟	106	106.3	1	106.3.a	2	清揚婉兮。	2	Baxter1992
1729	選	xuǎn	Old_Chinese	國風·齊風·猗嗟	106	106.3	2	106.3.b	2	舞則選兮、	1	Baxter1992
1730	貫	guàn	Old_Chinese	國風·齊風·猗嗟	106	106.3	2	106.3.b	2	射則貫兮。	2	Baxter1992
1731	反	fǎn	Old_Chinese	國風·齊風·猗嗟	106	106.3	3	106.3.b	2	四矢反兮、	1	Baxter1992
1732	亂	luàn	Old_Chinese	國風·齊風·猗嗟	106	106.3	3	106.3.b	2	以禦亂兮。	2	Baxter1992
1733	屨	jù	Old_Chinese	國風·魏風·葛屨	107	107.1	1		3	糾糾葛屨、	1	Baxter1992
1734	霜	shuāng	Old_Chinese	國風·魏風·葛屨	107	107.1	1	107.1.a	3	可以履霜。	2	Baxter1992
1735	手	shǒu	Old_Chinese	國風·魏風·葛屨	107	107.1	2		3	摻摻女手、	1	Baxter1992
1736	裳	shang	Old_Chinese	國風·魏風·葛屨	107	107.1	2	107.1.a	3	可以縫裳。	2	Baxter1992
1737	襋	jí	Old_Chinese	國風·魏風·葛屨	107	107.1	3	107.1.b	2	要之襋之、	1	Baxter1992
1738	服	fú	Old_Chinese	國風·魏風·葛屨	107	107.1	3	107.1.b	2	好人服之。	2	Baxter1992
1739	提	tí	Old_Chinese	國風·魏風·葛屨	107	107.2	1	107.2.a	2	好人提提、	1	Baxter1992
1740	提	tí	Old_Chinese	國風·魏風·葛屨	107	107.2	1	107.2.a	2	好人提提、	1	Baxter1992
1741	辟	pì	Old_Chinese	國風·魏風·葛屨	107	107.2	1	107.2.a	3	宛然左辟、	2	Baxter1992
1742	揥	tì	Old_Chinese	國風·魏風·葛屨	107	107.2	1	107.2.a	3	佩其象揥。	3	Baxter1992
1743	心	xīn	Old_Chinese	國風·魏風·葛屨	107	107.2	2		3	維是褊心、	1	Baxter1992
1744	刺	cì	Old_Chinese	國風·魏風·葛屨	107	107.2	2	107.2.a	3	是以為刺。	2	Baxter1992
1745	洳	rù	Old_Chinese	國風·魏風·汾沮洳	108	108.1	1	108.1.a	3	彼汾沮洳、	1	Baxter1992
1746	莫	mò	Old_Chinese	國風·魏風·汾沮洳	108	108.1	1	108.1.a	3	言采其莫。	2	Baxter1992
1747	子	zi	Old_Chinese	國風·魏風·汾沮洳	108	108.1	2		3	彼其之子、	1	Baxter1992
1748	度	dù	Old_Chinese	國風·魏風·汾沮洳	108	108.1	2	108.1.a	2	美無度。	2	Baxter1992
1749	度	dù	Old_Chinese	國風·魏風·汾沮洳	108	108.1	3	108.1.a	2	美無度、	1	Baxter1992
1750	路	lù	Old_Chinese	國風·魏風·汾沮洳	108	108.1	3	108.1.a	4	殊異乎公路。	2	Baxter1992
1751	方	fāng	Old_Chinese	國風·魏風·汾沮洳	108	108.2	1	108.2.a	3	彼汾一方、	1	Baxter1992
1752	桑	sāng	Old_Chinese	國風·魏風·汾沮洳	108	108.2	1	108.2.a	3	言采其桑。	2	Baxter1992
1753	子	zi	Old_Chinese	國風·魏風·汾沮洳	108	108.2	2		3	彼其之子、	1	Baxter1992
1754	英	yīng	Old_Chinese	國風·魏風·汾沮洳	108	108.2	2	108.2.a	2	美如英。	2	Baxter1992
1755	英	yīng	Old_Chinese	國風·魏風·汾沮洳	108	108.2	3	108.2.a	2	美如英、	1	Baxter1992
1756	行	xíng	Old_Chinese	國風·魏風·汾沮洳	108	108.2	3	108.2.a	4	殊異乎公行。	2	Baxter1992
1757	曲	qū	Old_Chinese	國風·魏風·汾沮洳	108	108.3	1	108.3.a	3	彼汾一曲、	1	Baxter1992
1758	藚	xù	Old_Chinese	國風·魏風·汾沮洳	108	108.3	1	108.3.a	3	言采其藚。	2	Baxter1992
1759	子	zi	Old_Chinese	國風·魏風·汾沮洳	108	108.3	2		3	彼其之子、	1	Baxter1992
1760	玉	yù	Old_Chinese	國風·魏風·汾沮洳	108	108.3	2	108.3.a	2	美如玉。	2	Baxter1992
1761	玉	yù	Old_Chinese	國風·魏風·汾沮洳	108	108.3	3	108.3.a	2	美如玉、	1	Baxter1992
1762	族	zú	Old_Chinese	國風·魏風·汾沮洳	108	108.3	3	108.3.a	4	殊異乎公族。	2	Baxter1992
1763	桃	táo	Old_Chinese	國風·魏風·園有桃	109	109.1	1	109.1.a	2	園有桃、	1	Baxter1992
1764	殽	xiáo	Old_Chinese	國風·魏風·園有桃	109	109.1	1	109.1.a	3	其實之殽。	2	Baxter1992
1765	憂	yōu	Old_Chinese	國風·魏風·園有桃	109	109.1	2		2	心之憂矣、	1	Baxter1992
1766	謠	yáo	Old_Chinese	國風·魏風·園有桃	109	109.1	2	109.1.a	3	我歌且謠。	2	Baxter1992
1767	者	zhě	Old_Chinese	國風·魏風·園有桃	109	109.1	3		3	不我知者、	1	Baxter1992
1768	驕	jiāo	Old_Chinese	國風·魏風·園有桃	109	109.1	3	109.1.a	4	謂我士也驕。	2	Baxter1992
1769	哉	zāi	Old_Chinese	國風·魏風·園有桃	109	109.1	4		3	彼人是哉、	1	Baxter1992
1770	其	qí	Old_Chinese	國風·魏風·園有桃	109	109.1	4	109.1.b	3	子曰何其。	2	Baxter1992
1771	憂	yōu	Old_Chinese	國風·魏風·園有桃	109	109.1	5		2	心之憂矣、	1	Baxter1992
1772	之	zhī	Old_Chinese	國風·魏風·園有桃	109	109.1	5	109.1.b	3	其誰知之。	2	Baxter1992
1773	之	zhī	Old_Chinese	國風·魏風·園有桃	109	109.1	6	109.1.b	3	其誰知之、	1	Baxter1992
1774	思	sī	Old_Chinese	國風·魏風·園有桃	109	109.1	6	109.1.b	3	蓋亦勿思。	2	Baxter1992
1775	棘	jí	Old_Chinese	國風·魏風·園有桃	109	109.2	1	109.2.a	2	園有棘、	1	Baxter1992
1776	食	shí	Old_Chinese	國風·魏風·園有桃	109	109.2	1	109.2.a	3	其實之食。	2	Baxter1992
1777	憂	yōu	Old_Chinese	國風·魏風·園有桃	109	109.2	2		2	心之憂矣、	1	Baxter1992
1778	國	guó	Old_Chinese	國風·魏風·園有桃	109	109.2	2	109.2.a	3	聊以行國。	2	Baxter1992
1779	者	zhě	Old_Chinese	國風·魏風·園有桃	109	109.2	3		3	不我知者、	1	Baxter1992
1780	極	jí	Old_Chinese	國風·魏風·園有桃	109	109.2	3	109.2.a	5	謂我士也罔極。	2	Baxter1992
1781	哉	zāi	Old_Chinese	國風·魏風·園有桃	109	109.2	4	109.2.b	3	彼人是哉、	1	Baxter1992
1782	其	qí	Old_Chinese	國風·魏風·園有桃	109	109.2	4	109.2.b	3	子曰何其。	2	Baxter1992
1783	憂	yōu	Old_Chinese	國風·魏風·園有桃	109	109.2	5		2	心之憂矣、	1	Baxter1992
1784	之	zhī	Old_Chinese	國風·魏風·園有桃	109	109.2	5	109.2.b	3	其誰知之。	2	Baxter1992
1785	之	zhī	Old_Chinese	國風·魏風·園有桃	109	109.2	6	109.2.b	3	其誰知之、	1	Baxter1992
1786	思	sī	Old_Chinese	國風·魏風·園有桃	109	109.2	6	109.2.b	3	蓋亦勿思。	2	Baxter1992
163	趾	zhǐ	Old_Chinese	國風·周南·麟之趾	11	11.1	1	11.1.a	2	麟之趾、	1	Baxter1992
164	子	zi	Old_Chinese	國風·周南·麟之趾	11	11.1	1	11.1.a	3	振振公子。	2	Baxter1992
165	麟	lín	Old_Chinese	國風·周南·麟之趾	11	11.1	2		2	于嗟麟兮。	1	Baxter1992
166	定	dìng	Old_Chinese	國風·周南·麟之趾	11	11.2	1	11.2.a	2	麟之定、	1	Baxter1992
167	姓	xìng	Old_Chinese	國風·周南·麟之趾	11	11.2	1	11.2.a	3	振振公姓。	2	Baxter1992
168	麟	lín	Old_Chinese	國風·周南·麟之趾	11	11.2	2		2	于嗟麟兮。	1	Baxter1992
169	角	jiǎo	Old_Chinese	國風·周南·麟之趾	11	11.3	1	11.3.a	2	麟之角、	1	Baxter1992
170	族	zú	Old_Chinese	國風·周南·麟之趾	11	11.3	1	11.3.a	3	振振公族。	2	Baxter1992
171	麟	lín	Old_Chinese	國風·周南·麟之趾	11	11.3	2		2	于嗟麟兮。	1	Baxter1992
1787	岵	hù	Old_Chinese	國風·魏風·陟岵	110	110.1	1	110.1.a	2	陟彼岵兮、	1	Baxter1992
1788	父	fù	Old_Chinese	國風·魏風·陟岵	110	110.1	1	110.1.a	2	瞻望父兮。	2	Baxter1992
1789	子	zi	Old_Chinese	國風·魏風·陟岵	110	110.1	2	110.1.b	4	父曰嗟予子、	1	Baxter1992
1790	已	yǐ	Old_Chinese	國風·魏風·陟岵	110	110.1	2	110.1.b	5	行役夙夜無已。	2	Baxter1992
1791	哉	zāi	Old_Chinese	國風·魏風·陟岵	110	110.1	3		3	上慎旃哉、	1	Baxter1992
1792	止	zhǐ	Old_Chinese	國風·魏風·陟岵	110	110.1	3	110.1.b	3	猶來無止。	2	Baxter1992
1793	屺	qǐ	Old_Chinese	國風·魏風·陟岵	110	110.2	1	110.2.a	2	陟彼屺兮、	1	Baxter1992
1794	母	mǔ	Old_Chinese	國風·魏風·陟岵	110	110.2	1	110.2.a	2	瞻望母兮。	2	Baxter1992
1795	季	jì	Old_Chinese	國風·魏風·陟岵	110	110.2	2	110.2.b	4	母曰嗟予季、	1	Baxter1992
1796	寐	mèi	Old_Chinese	國風·魏風·陟岵	110	110.2	2	110.2.b	5	行役夙夜無寐。	2	Baxter1992
1797	哉	zāi	Old_Chinese	國風·魏風·陟岵	110	110.2	3		3	上慎旃哉、	1	Baxter1992
1798	棄	qì	Old_Chinese	國風·魏風·陟岵	110	110.2	3	110.2.b	3	猶來無棄。	2	Baxter1992
1799	岡	gāng	Old_Chinese	國風·魏風·陟岵	110	110.3	1	110.3.a	2	陟彼岡兮、	1	Baxter1992
1800	兄	xiōng	Old_Chinese	國風·魏風·陟岵	110	110.3	1	110.3.a	2	瞻望兄兮。	2	Baxter1992
1801	弟	dì	Old_Chinese	國風·魏風·陟岵	110	110.3	2	110.3.b	4	兄曰嗟予弟、	1	Baxter1992
