TC 	SC 	PY 	MC 	MCI 	MCF 	MCT 	OC 	Gloss
碧 	碧 	bì 	pjæk 	p- 	-jæk 	entering 	*prak 	light blue
臂 	臂 	bì 	pjieH 	p- 	-jie 	departing 	*pek-s 	arm
蔽 	蔽 	bì 	pjiejH 	p- 	-jiej 	departing 	*pet-s {*pe[t]-s} 	cover (v.)
辟 	辟 	bì 	pjiek 	p- 	-jiek 	entering 	*pek 	ruler, prince
璧 	璧 	bì 	pjiek 	p- 	-jiek 	entering 	*pek 	circular jade insignium
庇 	庇 	bì 	pjij 	p- 	-jij 	even 	*pij 	cover; protect
比 	比 	bì 	pjijH 	p- 	-jij 	departing 	*pij-s 	combine; all
庇 	庇 	bì 	pjijH 	p- 	-jij 	departing 	*pij-s 	cover; protect
妣 	妣 	bì 	pjijH 	p- 	-jij 	departing 	*pijʔ-s 	deceased mother
畀 	畀 	bì 	pjijH 	p- 	-jij 	departing 	*pik-s {*pi[k]-s} 	give
彃 	彃 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	shoot
篳 	筚 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	wattle
蹕 	跸 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	prohibit
必 	必 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	necessarily
畢 	毕 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	wooden fork
畢 	毕 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	bird-net
韠 	韠 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	knee cover
畢 	毕 	bì 	pjit 	p- 	-jit 	entering 	*pit {*pi[t]} 	finish (v.)
邊 	边 	biān 	pen 	p- 	-en 	even 	*pˁen {*pˁe[n]} 	side
編 	编 	biān 	pen 	p- 	-en 	even 	*pˁen {*pˁe[n]} 	plait, weave
鞭 	鞭 	biān 	pjien 	p- 	-jien 	even 	*pen {*pe[n]} 	whip (n.)
編 	编 	biān 	pjien 	p- 	-jien 	even 	*pen {*pe[n]} 	plait, weave
𠓥 	𠓥 	biān 	pjien 	p- 	-jien 	even 	*pen {*pe[n]} 	whip (n.)
扁 	扁 	biǎn 	penX 	p- 	-en 	rising 	*pˁenʔ {*pˁe[n]ʔ} 	flat and thin
貶 	贬 	biǎn 	pjæmX 	p- 	-jæm 	rising 	*promʔ {*pr[o]mʔ} 	diminish
貶 	贬 	biǎn 	pjemX 	p- 	-jem 	rising 	*pomʔ {*p(r)[o]mʔ} 	diminish
釆 	釆 	biàn 	bɛnH 	b- 	-ɛn 	departing 	*bˁrer-s {*[b]ˁre[r]-s} 	discriminate
弁 	弁 	biàn 	bjenH 	b- 	-jen 	departing 	*C.bron-s {*C.[b]ro[n]-s} 	cap
卞 	卞 	biàn 	bjenH 	b- 	-jen 	departing 	*bron-s {*[b]ro[n]-s} 	law
辨 	辨 	biàn 	bjenX 	b- 	-jen 	rising 	*brenʔ 	distinguish
辯 	辩 	biàn 	bjenX 	b- 	-jen 	rising 	*brenʔ 	dispute (v.))
便 	便 	biàn 	bjienH 	b- 	-jien 	departing 	*ben-s {*[b]e[n]-s} 	comfortable; advantageous
諞 	谝 	biàn 	bjienH 	b- 	-jien 	departing 	*m-pʰenʔ-s {*[m-pʰ]enʔ-s} 	glib-tongued
諞 	谝 	biàn 	bjienX 	b- 	-jien 	rising 	*m-pʰenʔ {*[m-pʰ]enʔ} 	insincere words
徧 	徧 	biàn 	penH 	p- 	-en 	departing 	*pˁen-s {*pˁe[n]-s} 	(go) all around
變 	变 	biàn 	pjenH 	p- 	-jen 	departing 	*pron-s {*pro[n]-s} 	change (v.)
表 	表 	biǎo 	pjewX 	p- 	-jew 	rising 	*pawʔ {*p(r)awʔ} 	exterior
鱉 	鳖 	biē 	pjiet 	p- 	-jiet 	entering 	*pet 	turtle
別 	别 	bié 	bjet 	b- 	-jet 	entering 	*N-pret 	be separated (intr.)
別 	别 	bié 	pjet 	p- 	-jet 	entering 	*pret 	separate (tr.)
賓 	宾 	bīn 	pjin 	p- 	-jin 	even 	*pin {*pi[n]} 	guest
冫 	冫 	bīng 	ping 	p- 	-ing 	even 	*p.rəŋ (dial. › *prəŋ) 	ice
冰 	冰 	bīng 	ping 	p- 	-ing 	even 	*p.rəŋ (dial. *p.r- › *pr-) 	ice
兵 	兵 	bīng 	pjæng 	p- 	-jæng 	even 	*praŋ 	weapon
并 	并 	bīng 	pjieng 	p- 	-jieng 	even 	*peŋ 	combine two things
禀 	禀 	bǐng 	limX 	l- 	-im 	rising 	*p.rimʔ 	rations
稟 	禀 	bǐng 	pimX 	p- 	-im 	rising 	*p.rimʔ (dial. › *primʔ) 	receive
稟 	禀 	bǐng 	pimX 	p- 	-im 	rising 	*p.rimʔ (dial. › *primʔ) 	rations
禀 	禀 	bǐng 	pimX 	p- 	-im 	rising 	*p.rimʔ (dial. › *primʔ) 	rations; receive
丙 	丙 	bǐng 	pjængX 	p- 	-jæng 	rising 	*praŋʔ 	3d heavenly stem
邴 	邴 	bǐng 	pjængX 	p- 	-jæng 	rising 	*praŋʔ 	(place name)
秉 	秉 	bǐng 	pjængX 	p- 	-jæng 	rising 	*praŋʔ 	grasp
並 	并 	bìng 	bengX 	b- 	-eng 	rising 	*bˁeŋʔ {*[b]ˁeŋʔ} 	side by side, together
病 	病 	bìng 	bjængH 	b- 	-jæng 	departing 	*braŋ-s {*[b]raŋ-s} 	extreme illness
枋 	枋 	bìng 	pjængH 	p- 	-jæng 	departing 	*praŋʔ-s 	handle (n.)
柄 	柄 	bìng 	pjængH 	p- 	-jæng 	departing 	*praŋʔ-s {*[p]raŋʔ-s} 	handle (n.)
棅 	棅 	bìng 	pjængH 	p- 	-jæng 	departing 	*praŋʔ-s 	a handle
并 	并 	bìng 	pjiengH 	p- 	-jieng 	departing 	*peŋ-s 	combine two things
番 	番 	bō 	pa 	p- 	-a 	even 	*pˁar 	martial
剝 	剥 	bō 	pæwk 	p- 	-æwk 	entering 	*pˁrok ~ *mə-pˁrok 	cut, flay, peel
撥 	拨 	bō 	pat 	p- 	-at 	entering 	*pˁat 	spread out
帛 	帛 	bó 	bæk 	b- 	-æk 	entering 	*bˁrak {*[b]ˁrak} 	silk
薄 	薄 	bó 	bak 	b- 	-ak 	entering 	*bˁak {*(Cə.)[b]ˁak} 	thin
艴 	艴 	bó 	bwot 	b- 	-wot 	entering 	*bˁut {*[b]ˁut} 	annoyed looks
伯 	伯 	bó 	pæk 	p- 	-æk 	entering 	*pˁrak 	father’s elder brother
博 	博 	bó 	pak 	p- 	-ak 	entering 	*pˁak 	broad
胉 	胉 	bó 	phak 	ph- 	-ak 	entering 	*pʰˁak 	shoulder blade
跛 	跛 	bǒ 	paX 	p- 	-a 	rising 	*pˁajʔ 	walk lame
簸 	簸 	bǒ 	paX 	p- 	-a 	rising 	*pˁajʔ 	winnow (v.)
簸 	簸 	bò 	paH 	p- 	-a 	departing 	*pˁajʔ-s 	winnow (v.)
播 	播 	bò 	paH 	p- 	-a 	departing 	*pˁarʔ-s 	to sow, winnow
哺 	哺 	bǔ 	buH 	b- 	-u 	departing 	*bˁa-s {*[b]ˁa-s} 	food held in the mouth
補 	补 	bǔ 	puX 	p- 	-u 	rising 	*Cə-pˁaʔ 	to patch
卜 	卜 	bǔ 	puwk 	p- 	-uwk 	entering 	*pˁok 	divine (v.)
步 	步 	bù 	buH 	b- 	-u 	departing 	*mə-bˁa-s {*mə-[b]ˁa-s} 	step
簿 	簿 	bù 	buX 	b- 	-u 	rising 	*bˁaʔ {*[b]ˁaʔ} 	register (n.)
部 	部 	bù 	buwX 	b- 	-uw 	rising 	*bˁoʔ {*[b]ˁ(r)oʔ} 	lead (v.), govern
不 	不 	bù 	pjuw 	p- 	-juw 	even 	*pə 	not
布 	布 	bù 	puH 	p- 	-u 	departing 	*pˁa-s 	cloth
布 	布 	bù 	puH 	p- 	-u 	departing 	*pˁa-s 	cloth
裁 	裁 	cái 	dzoj 	dz- 	-oj 	even 	*Cə.dzˁə {*[Cə.dz]ˁə} 	cut out clothes
材 	材 	cái 	dzoj 	dz- 	-oj 	even 	*Cə.dzˁə {*[Cə.dz]ˁə} 	timber
才 	才 	cái 	dzoj 	dz- 	-oj 	even 	*dzˁə {*(Cə.)[dz]ˁə} 	talent, ability
財 	财 	cái 	dzoj 	dz- 	-oj 	even 	*dzˁə {*[dz]ˁə} 	wealth
采 	采 	cǎi 	tshojX 	tsh- 	-oj 	rising 	*N-sˁrəʔ 	colorful
彩 	彩 	cǎi 	tshojX 	tsh- 	-oj 	rising 	*N-sˁrəʔ 	colorful
採 	采 	cǎi 	tshojX 	tsh- 	-oj 	rising 	*m-sˁrəʔ 	gather, pluck
采 	采 	cǎi 	tshojX 	tsh- 	-oj 	rising 	*m-sˁrəʔ 	gather, pluck
蔡 	蔡 	cài 	tshajH 	tsh- 	-aj 	departing 	*s.r̥ˁat-s 	(name of a state)
菜 	菜 	cài 	tshojH 	tsh- 	-oj 	departing 	*m-sˁrəʔ-s 	vegetables
參 	参 	cān 	tshom 	tsh- 	-om 	even 	*N-sˁrum {*N-sˁr[u]m} 	three
驂 	骖 	cān 	tshom 	tsh- 	-om 	even 	*m-sˁrəm {*m-sˁr[ə]m} 	team of three horses
參 	参 	cān 	tshom 	tsh- 	-om 	even 	*s-l̥ˁum {*s-l̥ˁ[u]m} 	accumulate
參 	参 	cān 	tshom 	tsh- 	-om 	even 	*tsʰˁum {*[tsʰ]ˁ[u]m} 	straight
慙 	慙 	cán 	dzam 	dz- 	-am 	even 	*dzˁam {*[dz]ˁam} 	ashamed
殘 	残 	cán 	dzan 	dz- 	-an 	even 	*dzˁan {*[dz]ˁa[n]} 	injure; remnant
蠶 	蚕 	cán 	dzom 	dz- 	-om 	even 	*C.dzˁəm {*C.dzˁ[ə]m} 	silkworm
粲 	粲 	càn 	tshanH 	tsh- 	-an 	departing 	*tsʰˁar-s {*[tsʰ]ˁar-s} 	bright and white
倉 	仓 	cāng 	tshang 	tsh- 	-ang 	even 	*[s.r̥]ˁaŋ 	tshang-kaeng 'oriole'
倉 	仓 	cāng 	tshang 	tsh- 	-ang 	even 	*tsʰˁaŋ {*[tsʰ]ˁaŋ} 	granary
凔 	凔 	cāng 	tshang 	tsh- 	-ang 	even 	*tsʰˁaŋ {*[tsʰ]ˁaŋ} 	cold
蒼 	苍 	cāng 	tshang 	tsh- 	-ang 	even 	*tsʰˁaŋ {*[tsʰ]ˁaŋ} 	deep blue or green
藏 	藏 	cáng 	dzang 	dz- 	-ang 	even 	*m-tsʰˁaŋ 	store (v.)
操 	操 	cāo 	tshawH 	tsh- 	-aw 	departing 	*tsʰˁawʔ-s {*[tsʰ]ˁawʔ-s} 	(what is grasped:) principles
操 	操 	cāo 	tshawX 	tsh- 	-aw 	rising 	*tsʰˁawʔ {*[tsʰ]ˁawʔ} 	grasp (v.)
曹 	曹 	cáo 	dzaw 	dz- 	-aw 	even 	*N-tsˁu 	come together; pair
草 	草 	cǎo 	tshawX 	tsh- 	-aw 	rising 	*tsʰˁuʔ {*[tsʰ]ˁuʔ} 	grass, plants
册 	册 	cè 	tsrhɛk 	tsrh- 	-ɛk 	entering 	*tsʰrek {*[tsʰ](ˁ)rek} 	tablet, records
策 	策 	cè 	tsrhɛk 	tsrh- 	-ɛk 	entering 	*tsʰrek {*[tsʰ](ˁ)rek} 	tablet, record
栅 	栅 	cè 	tsrhɛk 	tsrh- 	-ɛk 	entering 	*tsʰˁrek {*[tsʰ]ˁrek} 	hedge
廁 	厕 	cè 	tsrhiH 	tsrh- 	-i 	departing 	*tsʰrək-s {*[tsʰ]rək-s} 	latrine
測 	测 	cè 	tsrhik 	tsrh- 	-ik 	entering 	*tsʰrək {*[tsʰ]rək} 	fathom (v.)
側 	侧 	cè 	tsrik 	tsr- 	-ik 	entering 	*tsrək {*[ts]rək} 	slanting, oblique; side
參 	参 	cēn 	tsrhim 	tsrh- 	-im 	even 	*tsʰrum {*[tsʰr][u]m} 	uneven
層 	层 	céng 	dzong 	dz- 	-ong 	even 	*N-s.tˁəŋ 	double
曾 	曾 	céng 	dzong 	dz- 	-ong 	even 	*dzˁəŋ {*[dz]ˁəŋ} 	(adverb indicating past time)
差 	差 	chā 	tsrhæ 	tsrh- 	-æ 	even 	*tsʰraj 	distinction; to select
插 	插 	chā 	tsrhɛp 	tsrh- 	-ɛp 	entering 	*mə-tsʰ‹r›op {*mə-[tsʰ]‹r›op} 	insert
臿 	臿 	chā 	tsrhɛp 	tsrh- 	-ɛp 	entering 	*tsʰ‹r›op {*[tsʰ](ˁ)‹r›op} 	pestle
秅 	秅 	chá 	dræ 	dr- 	-æ 	even 	*dˁra {*[d]ˁra} 	a certain number of sheaves of grain
槎 	槎 	chá 	dzræ 	dzr- 	-æ 	even 	*dzˁraj {*[dz]ˁraj} 	cut trees
槎 	槎 	chá 	dzræX 	dzr- 	-æ 	rising 	*dzˁrajʔ {*[dz]ˁrajʔ} 	to cut trees
察 	察 	chá 	tsrhɛt 	tsrh- 	-ɛt 	entering 	*tsʰˁret {*[tsʰ]ˁret} 	examine
差 	差 	chāi 	tsrhɛ 	tsrh- 	-ɛ 	even 	*tsʰraj {*[tsʰ](ˁ)raj} 	distinction; to select
差 	差 	chāi 	tsrhɛj 	tsrh- 	-ɛj 	even 	*tsʰraj {*[tsʰ](ˁ)raj} 	distinction; to select
祡 	祡 	chái 	dzrɛ 	dzr- 	-ɛ 	even 	*C.dzˁre {*C.dzˁre(j)} 	firewood
儕 	侪 	chái 	dzrɛj 	dzr- 	-ɛj 	even 	*dzˁ‹r›əj {*[dz]ˁ‹r›əj} 	category, equals
豺 	豺 	chái 	dzrɛj 	dzr- 	-ɛj 	even 	*dzˁeaj {*[dz]ˁrə} 	wolf
蠆 	虿 	chài 	trhæjH 	trh- 	-æj 	departing 	*mə-r̥ˁat-s {*mə-r̥ˁa[t]-s} 	scorpion
幨 	幨 	chān 	tsyhem 	tsyh- 	-jem 	even 	*tʰam {*[tʰ]am} 	cut out, cut loose
襜 	襜 	chān 	tsyhem 	tsyh- 	-jem 	even 	*tʰam {*[tʰ]am} 	apron; shake, move (skirts)
廛 	廛 	chán 	drjen 	dr- 	-jen 	even 	*dran {*[d]ra[n]} 	farmyard
躔 	躔 	chán 	drjen 	dr- 	-jen 	even 	*dran {*[d]ra[n]} 	tracks; orbit (v.)
纏 	缠 	chán 	drjen 	dr- 	-jen 	even 	*dran {*[d]ra[n]} 	bind, wind
蟬 	蝉 	chán 	dzyen 	dzy- 	-jen 	even 	*dar {*[d]a[r]} 	cicada
單 	单 	chán 	dzyen 	dzy- 	-jen 	even 	*dˁar {*[d]ˁar} 	in chan2yu2
產 	产 	chǎn 	srɛnX 	sr- 	-ɛn 	rising 	*s-ŋrarʔ 	bear (v.), produce
諂 	谄 	chǎn 	trhjemX 	trh- 	-jem 	rising 	*qʰromʔ 	flatter (v.)
讇 	讇 	chǎn 	trhjemX 	trh- 	-jem 	rising 	*qʰromʔ 	to flatter
幨 	幨 	chàn 	tsyhemH 	tsyh- 	-jem 	departing 	*tʰam-s {*[tʰ]am-s} 	overcoat
長 	长 	cháng 	drjang 	dr- 	-jang 	even 	*Cə-N-traŋ {*Cə-[N]-traŋ} 	long (adj.)
場 	场 	cháng 	drjang 	dr- 	-jang 	even 	*Cə.lraŋ 	arena
腸 	肠 	cháng 	drjang 	dr- 	-jang 	even 	*lraŋ 	intestines
嘗 	尝 	cháng 	dzyang 	dzy- 	-jang 	even 	*Cə.daŋ 	taste (v.)
常 	常 	cháng 	dzyang 	dzy- 	-jang 	even 	*daŋ {*[d]aŋ} 	constant
裳 	裳 	cháng 	dzyang 	dzy- 	-jang 	even 	*daŋ 	lower garment
惝 	惝 	chǎng 	tsyhangX 	tsyh- 	-jang 	rising 	*tʰaŋʔ 	despondent; scared
敞 	敞 	chǎng 	tsyhangX 	tsyh- 	-jang 	rising 	*tʰaŋʔ 	open, spacious
鬯 	鬯 	chàng 	trhjangH 	trh- 	-jang 	departing 	*tʰraŋ-s 	aromatic spirits
悵 	怅 	chàng 	trhjangH 	trh- 	-jang 	departing 	*tʰraŋ-s 	disappointed
唱 	唱 	chàng 	tsyhangH 	tsyh- 	-jang 	departing 	*mə-tʰaŋ-s 	to lead (in singing)
倡 	倡 	chàng 	tsyhangH 	tsyh- 	-jang 	departing 	*tʰaŋ-s 	to lead (in singing)
超 	超 	chāo 	trhjew 	trh- 	-jew 	even 	*tʰraw {*tʰr[a]w} 	leap over, surpass
