ID	SHIJING	BLOCK	CHAPTER	NUMBER	TITLE	STANZA	VERSE	SECTION_NUMBER	RHYME_NUMBER	SECTION	RAW_SECTION	ENDCHAR	NOTE	RHYME	ALTERNATIVE_RHYME	CHARACTER	RHYMEID	MCH	OCH	PWY	YUNBU	SECTIONID	PREINITIAL	INITIAL	MEDIAL	YUN	SUF	OCBSYUN	GSR	GSRCLASS	MCHASCII	OCH_GLOSS	PINYIN	OCBS
11	shijing	國風	周南	1	關睢	1.3	2	1	1	悠哉悠x?a哉	悠哉悠哉	、			1.3.a	哉	0	tsoj // tsoj	*[ts]ˤə	skɯɯ	之	1.3.2.1		[ts]ˤ		ə		ə	0943v	943	tsoj	(particle)	zai1	 [ts]ˤ  ə 
12	shijing	國風	周南	1	關睢	1.3	2	2	1	輾轉反a側	輾轉反側	。		1.3.a		側	4	tsrik	*[ts]rək	skrɯɡ	職	1.3.2.2		[ts]	r	ək		ək	0906c	906	tsrik	slanting, oblique; side	ce4	 [ts] r ək 
13	shijing	國風	周南	1	關睢	1.4	1	1	1	參差荇菜	參差荇菜	、				菜	0	tshojH	*s.r̥ˤəʔ-s	tshɯɯs	之	1.4.1.1	s.	r̥ˤ		əʔ	-s	ə	0942e	942	tshojH	vegetables	cai4	s. r̥ˤ  əʔ -s
14	shijing	國風	周南	1	關睢	1.4	1	2	1	左右a采之	左右采之	。		1.4.a		采	5	tshojX	*s.r̥ˤəʔ	tshɯɯʔ	之	1.4.1.2	s.	r̥ˤ		əʔ		ə	0942a	942	tshojX	colorful	cai3	s. r̥ˤ  əʔ 
15	shijing	國風	周南	1	關睢	1.4	2	1	1	窈宨淑女	窈宨淑女	、				女	0	nrjoX	*nraʔ	nas	魚	1.4.2.1		n	r	aʔ	-s	a	0094a	94	nrjoH	give as a wife	nü4	 n r aʔ -s
16	shijing	國風	周南	1	關睢	1.4	2	2	1	琴瑟a友之	琴瑟友之	。		1.4.a		友	5	hjuwX	*[ɢ]ʷəʔ	?	尤	1.4.2.2		[ɢ]ʷ		əʔ		ə	0995e	995	hjuwX	friend	you3	 [ɢ]ʷ  əʔ 
17	shijing	國風	周南	1	關睢	1.5	1	1	1	參差荇菜	參差荇菜	、				菜	0	tshojH	*s.r̥ˤəʔ-s	tshɯɯs	之	1.5.1.1	s.	r̥ˤ		əʔ	-s	ə	0942e	942	tshojH	vegetables	cai4	s. r̥ˤ  əʔ -s
18	shijing	國風	周南	1	關睢	1.5	1	2	1	左右a芼之	左右芼之	。		1.5.a		芼	6	mawH (maw)	*mˤaw(k)-s	moow	宵3	1.5.1.2		mˤ		aw(k)	-s	awk	1137g	1137	mawH	cull and cook	mao4	 mˤ  aw(k) -s
19	shijing	國風	周南	1	關睢	1.5	2	1	1	窈宨淑女	窈宨淑女	、				女	0	nrjoX	*nraʔ	nas	魚	1.5.2.1		n	r	aʔ	-s	a	0094a	94	nrjoH	give as a wife	nü4	 n r aʔ -s
20	shijing	國風	周南	1	關睢	1.5	2	2	1	 鍾鼓a樂之	 鍾鼓樂之	。		1.5.a		樂	6	ngaewk	*[ŋ]ˤrawk	ŋɡraawɡ	藥1	1.5.2.2		[ŋ]ˤ	r	awk		awk	1125a	1125	ngaewk	music	yue4	 [ŋ]ˤ r awk 
151	shijing	國風	周南	10	 汝墳	10.1	1	1	1	遵彼汝墳	遵彼汝墳	、				墳	0	bjunX	?	bɯnʔ	文1	10.1.1.1												    
152	shijing	國風	周南	10	 汝墳	10.1	1	2	1	伐其條a枚	伐其條枚	。		10.1.a		枚	7	mwoj	*mˤəj	mɯɯl	微1	10.1.1.2		mˤ		əj		əj	0546a	546	mwoj	stem, branch	mei2	 mˤ  əj 
153	shijing	國風	周南	10	 汝墳	10.1	2	1	1	未見君子	未見君子	、				子	0	tsiX	! *[ts]əʔ // *tsəʔ	?	之	10.1.2.1		ts		əʔ		ə	0964a	964	tsiX	child; gentleman, master	zi3	 ts  əʔ 
154	shijing	國風	周南	10	 汝墳	10.1	2	2	1	惄如調a飢	惄如調飢	。		10.1.a		飢	7	kij	*Cə.k<r>ə[j]	kril	脂1	10.1.2.2	Cə.	k	<r>	ə[j]		əj	0602f	602	kij	hungry	ji1	Cə. k <r> ə[j] 
155	shijing	國風	周南	10	 汝墳	10.2	1	1	1	遵彼汝墳	遵彼汝墳	、				墳	0	bjunX	?	bɯnʔ	文1	10.2.1.1												    
156	shijing	國風	周南	10	 汝墳	10.2	1	2	1	伐其條a肄	伐其條肄	。		10.2.a		肄	8	yijH	?	lids	質1	10.2.1.2												    
157	shijing	國風	周南	10	 汝墳	10.2	2	1	1	既見君子	既見君子	、				子	0	tsiX	! *[ts]əʔ // *tsəʔ	?	之	10.2.2.1		ts		əʔ		ə	0964a	964	tsiX	child; gentleman, master	zi3	 ts  əʔ 
158	shijing	國風	周南	10	 汝墳	10.2	2	2	1	不我遐a棄	不我遐棄	。		10.2.a		棄	8	khjijH	*[kʰ]i[t]-s	khids	質1	10.2.2.2		[kʰ]		i[t]	-s	it	0535a	535	khjijH	throw away, abandon	qi4	 [kʰ]  i[t] -s
159	shijing	國風	周南	10	 汝墳	10.3	1	1	1	魴魚赬a尾	魴魚赬尾	、		10.3.a		尾	9	mj+jX	*[m]əjʔ	mɯlʔ	微1	10.3.1.1		[m]		əjʔ		əj	0583a	583	mj+jX	tail	wei3	 [m]  əjʔ 
160	shijing	國風	周南	10	 汝墳	10.3	1	2	1	王室如a燬 	王室如燬 	。		10.3.a		燬	9		?	qhʷralʔ	歌1	10.3.1.2												    
161	shijing	國風	周南	10	 汝墳	10.3	2	1	1	雖則如a燬	雖則如燬	、		10.3.a		燬	9		?	qhʷralʔ	歌1	10.3.2.1												    
162	shijing	國風	周南	10	 汝墳	10.3	2	2	1	父母孔a邇 	父母孔邇 	。		10.3.a		邇	9	nyeX	*n[ə][r]ʔ	mljelʔ	歌2	10.3.2.2		n		[ə][r]ʔ		ər	0359c	359	nyeX	near	er3	 n  [ə][r]ʔ 
1616	shijing	國風	齊風	100	  東方未明	100.1	1	1	1	東方未a明	東方未明	、		100.1.a		明	10	mjaeng	*mraŋ	mraŋ	陽	100.1.1.1		m	r	aŋ		aŋ	0760a	760	mjaeng	bright	ming2	 m r aŋ 
1617	shijing	國風	齊風	100	  東方未明	100.1	1	2	1	顛倒衣a裳	顛倒衣裳	。		100.1.a		裳	10	dzyang	*daŋ	djaŋ	陽	100.1.1.2		d		aŋ		aŋ	0725d	725	dzyang	lower garment	chang2	 d  aŋ 
1618	shijing	國風	齊風	100	  東方未明	100.1	2	1	1	顛之b倒之	顛之倒之	、		100.1.b		倒	11	tawH	*tˤawʔ-s	k-laaws	宵1	100.1.2.1		tˤ		awʔ	-s	aw	1132c	1132	tawH	turn over, invert; pour	dao4	 tˤ  awʔ -s
1619	shijing	國風	齊風	100	  東方未明	100.1	2	2	1	自公b召之	自公召之	。		100.1.b		召	11	drjewH // dzyewX (dzyewH)	*[d]raw-s // *[d]awʔ	ɡ-lews	宵2	100.1.2.2		[d]		awʔ		aw	1131e	1131	dzyewX	(place name)	shao4	 [d]  awʔ 
1620	shijing	國風	齊風	100	  東方未明	100.2	1	1	1	東方未a晞	東方未晞	、		100.2.a		晞	12	xj+j	?	qhlɯl	微1	100.2.1.1												    
1621	shijing	國風	齊風	100	  東方未明	100.2	1	2	1	顛倒裳a衣	顛倒裳衣	。		100.2.a		衣	12	'j+j	*ʔ(r)əj	qɯl	微1	100.2.1.2		ʔ	(r)	əj		əj	0550a	550	'j+j	clothes	yi1	 ʔ (r) əj 
1622	shijing	國風	齊風	100	  東方未明	100.2	2	1	1	倒之b顛之	倒之顛之	、		100.2.b		顛	13	ten	*tˤi[n]	tiin	真1	100.2.2.1		tˤ		i[n]		in	0375m	375	ten	top	dian1	 tˤ  i[n] 
1623	shijing	國風	齊風	100	  東方未明	100.2	2	2	1	自公b令之	自公令之	。		100.2.b		令	13	leng // ljeng // ljengH (ljen)	*riŋ // *riŋ-s // *[r]ˤiŋ	ɡ-ren	元2	100.2.2.2		[r]ˤ		iŋ		iŋ	0823a	823	leng	脊令 tsjek.leng (a kind of water bird)	ling2	 [r]ˤ  iŋ 
1624	shijing	國風	齊風	100	  東方未明	100.3	1	1	1	折柳樊a圃	折柳樊圃	、		100.3.a		圃	14	puH	?	paas	魚	100.3.1.1												    
1625	shijing	國風	齊風	100	  東方未明	100.3	1	2	1	狂夫a瞿a瞿	狂夫瞿瞿	。		100.3.a		瞿	14	gju	*[g]ʷ(r)a	ɡʷa	魚	100.3.1.2		[g]ʷ	(r)	a		a	0096c	96	gju	a kind of lance	qu2	 [g]ʷ (r) a 
1626	shijing	國風	齊風	100	  東方未明	100.3	1	2	2	狂夫a瞿a瞿	狂夫瞿瞿	。		100.3.a		瞿	14	gju	*[g]ʷ(r)a	ɡʷa	魚	100.3.1.2		[g]ʷ	(r)	a		a	0096c	96	gju	a kind of lance	qu2	 [g]ʷ (r) a 
1627	shijing	國風	齊風	100	  東方未明	100.3	2	1	1	不能辰a夜	不能辰夜	、		100.3.a		夜	14	yaeH	*[ɢ]Ak-s			100.3.2.1		[ɢ]		Ak	-s	Ak	0800j	800	yaeH	night	ye4	 [ɢ]  Ak -s
1628	shijing	國風	齊風	100	  東方未明	100.3	2	2	1	不夙則a莫	不夙則莫	。		100.3.a		莫	14	mak	*mˤak	maaɡ	鐸	100.3.2.2		mˤ		ak		ak	0802a	802	mak	deliberate (v.) (loan)	mo4	 mˤ  ak 
1629	shijing	國風	齊風	101	  南山	101.1	1	1	1	南山a崔a崔	南山崔崔	、		101.1.a		崔	15	dzwoj	*[dz]ˤuj	sɡluul	微2	101.1.1.1		[dz]ˤ		uj		uj	0575d'	575	dzwoj	high, rocky	cui1	 [dz]ˤ  uj 
1630	shijing	國風	齊風	101	  南山	101.1	1	1	2	南山a崔a崔	南山崔崔	、		101.1.a		崔	15	dzwoj	*[dz]ˤuj	sɡluul	微2	101.1.1.1		[dz]ˤ		uj		uj	0575d'	575	dzwoj	high, rocky	cui1	 [dz]ˤ  uj 
1631	shijing	國風	齊風	101	  南山	101.1	1	2	1	雄狐a綏a綏	雄狐綏綏	。		101.1.a		綏	15	swij	*s.nuj	snul	微3	101.1.1.2	s.	n		uj		uj	0354g	354	swij	comfort (v.)	sui2	s. n  uj 
1632	shijing	國風	齊風	101	  南山	101.1	1	2	2	雄狐a綏a綏	雄狐綏綏	。		101.1.a		綏	15	swij	*s.nuj	snul	微3	101.1.1.2	s.	n		uj		uj	0354g	354	swij	comfort (v.)	sui2	s. n  uj 
1633	shijing	國風	齊風	101	  南山	101.1	2	1	1	魯道有蕩	魯道有蕩	、				蕩	0	dangX	*N.rˤaŋʔ	ɡ-laaŋʔ	陽	101.1.2.1	N.	rˤ		aŋʔ		aŋ	0720p'	720	dangX	beat furiously (of the heart)	dang4	N. rˤ  aŋʔ 
1634	shijing	國風	齊風	101	  南山	101.1	2	2	1	齊子由a歸	齊子由歸	。		101.1.a		歸	15	kjw+j	*[k]ʷəj	?	微	101.1.2.2		[k]ʷ		əj		əj	0570a	570	kjw+j	return (v.)	gui1	 [k]ʷ  əj 
1635	shijing	國風	齊風	101	  南山	101.1	3	1	1	既曰b?a歸止	既曰歸止	、		101.1.b	101.1.a	歸	16	kjw+j	*[k]ʷəj	?	微	101.1.3.1		[k]ʷ		əj		əj	0570a	570	kjw+j	return (v.)	gui1	 [k]ʷ  əj 
1636	shijing	國風	齊風	101	  南山	101.1	3	2	1	曷又b?a懷止	曷又懷止	。		101.1.b	101.1.a	懷	16	hweaj	*[g]ˤruj	ɡruul	微2	101.1.3.2		[g]ˤ	r	uj		uj	0600c	600	hweaj	bosom; embrace	huai2	 [g]ˤ r uj 
1637	shijing	國風	齊風	101	  南山	101.2	1	1	1	葛屨五a兩	葛屨五兩	、		101.2.a		兩	17	ljangX	*p.raŋʔ	?	陽	101.2.1.1	p.	r		aŋʔ		aŋ	0736a	736	ljangX	a pair	liang3	p. r  aŋʔ 
1638	shijing	國風	齊風	101	  南山	101.2	1	2	1	冠緌b?a雙止	冠緌雙止	。		101.2.b	101.2.a	雙	18	sraewng	*[s]roŋ	srooŋ	東	101.2.1.2		[s]	r	oŋ		oŋ	1200a	1200	sraewng	a pair	shuang1	 [s] r oŋ 
1639	shijing	國風	齊風	101	  南山	101.2	2	1	1	魯道有a蕩	魯道有蕩	、		101.2.a		蕩	17	dangX	*N.rˤaŋʔ	ɡ-laaŋʔ	陽	101.2.2.1	N.	rˤ		aŋʔ		aŋ	0720p'	720	dangX	beat furiously (of the heart)	dang4	N. rˤ  aŋʔ 
1640	shijing	國風	齊風	101	  南山	101.2	2	2	1	齊子b?a庸止	齊子庸止	。		101.2.b	101.2.a	庸	18	yowng	*loŋ	k-loŋ	東	101.2.2.2		l		oŋ		oŋ	1185x	1185	yowng	use; advantage	yong1	 l  oŋ 
1641	shijing	國風	齊風	101	  南山	101.2	3	1	1	既曰b?a庸止	既曰庸止	、		101.2.b	101.2.a	庸	18	yowng	*loŋ	k-loŋ	東	101.2.3.1		l		oŋ		oŋ	1185x	1185	yowng	use; advantage	yong1	 l  oŋ 
1642	shijing	國風	齊風	101	  南山	101.2	3	2	1	曷又b?a從止	曷又從止	。		101.2.b	101.2.a	從	18	dzjowng // dzjowngH // tsjowng (tshjowng)	*tsoŋ // *[dz]oŋ-s // *[dz]oŋ	tshoŋ	東	101.2.3.2		[dz]		oŋ		oŋ	1191d	1191	dzjowng	to follow	cong2	 [dz]  oŋ 
1643	shijing	國風	齊風	101	  南山	101.3	1	1	1	蓺麻如之何	蓺麻如之何	、				何	0	ha	*[g]ˤaj	ɡlaal	歌1	101.3.1.1		[g]ˤ		aj		aj	0001f	1	ha	what	he2	 [g]ˤ  aj 
1644	shijing	國風	齊風	101	  南山	101.3	1	2	1	衡從其a畝	衡從其畝	。		101.3.a		畝	19	muwX	*məʔ	?	侯	101.3.1.2		m		əʔ		ə	0949a	949	muwX	Chinese acre	mu3	 m  əʔ 
1645	shijing	國風	齊風	101	  南山	101.3	2	1	1	取妻如之何	取妻如之何	、				何	0	ha	*[g]ˤaj	ɡlaal	歌1	101.3.2.1		[g]ˤ		aj		aj	0001f	1	ha	what	he2	 [g]ˤ  aj 
1646	shijing	國風	齊風	101	  南山	101.3	2	2	1	必告父a母	必告父母	。		101.3.a		母	19	muwX	*məʔ	mɯʔ	侯	101.3.2.2		m		əʔ		ə	0947a	947	muwX	mother	mu3	 m  əʔ 
1647	shijing	國風	齊風	101	  南山	101.3	3	1	1	既曰b?a告止	既曰告止	、		101.3.b	101.3.a	告	20	kowk	*kˤuk			101.3.3.1		kˤ		uk	-s	uk	1039a	1039	kawH	announce, inform	gao4	 kˤ  uk -s
1648	shijing	國風	齊風	101	  南山	101.3	3	2	1	曷又b?a鞠止	曷又鞠止	。		101.3.b	101.3.a	鞠	20	gjuwk	?	ɡuɡ	覺1	101.3.3.2												    
1649	shijing	國風	齊風	101	  南山	101.4	1	1	1	析薪如之何	析薪如之何	、				何	0	ha	*[g]ˤaj	ɡlaal	歌1	101.4.1.1		[g]ˤ		aj		aj	0001f	1	ha	what	he2	 [g]ˤ  aj 
1650	shijing	國風	齊風	101	  南山	101.4	1	2	1	匪斧不a克	匪斧不克	。		101.4.a		克	21	khok	*kʰˤək	khɯɯɡ	職	101.4.1.2		kʰˤ		ək		ək	0903a	903	khok	carry; able; dominate	ke4	 kʰˤ  ək 
1651	shijing	國風	齊風	101	  南山	101.4	2	1	1	取妻如之何	取妻如之何	、				何	0	ha	*[g]ˤaj	ɡlaal	歌1	101.4.2.1		[g]ˤ		aj		aj	0001f	1	ha	what	he2	 [g]ˤ  aj 
1652	shijing	國風	齊風	101	  南山	101.4	2	2	1	匪媒不a得	匪媒不得	。		101.4.a		得	21	tok	*tˤək	?	德	101.4.2.2		tˤ		ək		ək	0905d	905	tok	obtain	de2	 tˤ  ək 
1653	shijing	國風	齊風	101	  南山	101.4	3	1	1	既曰b?a得止	既曰得止	、		101.4.b	101.4.a	得	22	tok	*tˤək	?	德	101.4.3.1		tˤ		ək		ək	0905d	905	tok	obtain	de2	 tˤ  ək 
1654	shijing	國風	齊風	101	  南山	101.4	3	2	1	曷又b?a極止	曷又極止	。		101.4.b	101.4.a	極	22	gik	*[g](r)ək	ɡɯɡ	職	101.4.3.2		[g]	(r)	ək		ək	0910e	910	gik	extreme	ji2	 [g] (r) ək 
1655	shijing	國風	齊風	102	  甫田	102.1	1	1	1	無田甫a田	無田甫田	、		102.1.a		田	23	den	*lˤiŋ	ɡ-liiŋ	真2	102.1.1.1		lˤ		iŋ		iŋ	0362a	362	den	field; to hunt	tian2	 lˤ  iŋ 
1656	shijing	國風	齊風	102	  甫田	102.1	1	2	1	維莠b驕b驕	維莠驕驕	。		102.1.b		驕	24	kjew	?	krew	宵2	102.1.1.2												    
1657	shijing	國風	齊風	102	  甫田	102.1	1	2	2	維莠b驕b驕	維莠驕驕	。		102.1.b		驕	24	kjew	?	krew	宵2	102.1.1.2												    
1658	shijing	國風	齊風	102	  甫田	102.1	2	1	1	無思遠a人	無思遠人	、		102.1.a		人	23	nyin	*ni[ŋ]	njin	真1	102.1.2.1		n		i[ŋ]		iŋ	0388a	388	nyin	(other) person	ren2	 n  i[ŋ] 
1659	shijing	國風	齊風	102	  甫田	102.1	2	2	1	勞心b忉b忉	勞心忉忉	。		102.1.b		忉	24	taw	?	k-laaw	宵1	102.1.2.2												    
1660	shijing	國風	齊風	102	  甫田	102.1	2	2	2	勞心b忉b忉	勞心忉忉	。		102.1.b		忉	24	taw	?	k-laaw	宵1	102.1.2.2												    
1661	shijing	國風	齊風	102	  甫田	102.2	1	1	1	無田甫a田	無田甫田	、		102.2.a		田	25	den	*lˤiŋ	ɡ-liiŋ	真2	102.2.1.1		lˤ		iŋ		iŋ	0362a	362	den	field; to hunt	tian2	 lˤ  iŋ 
1662	shijing	國風	齊風	102	  甫田	102.2	1	2	1	維莠b桀b桀	維莠桀桀	。		102.2.b		桀	26	gjet	! *m-[k]<r>at // *N-[k]<r>at	ɡrad	月1	102.2.1.2	N-	[k]	<r>	at		at	0284a	284	gjet	remarkable; hero	jie2	N- [k] <r> at 
1663	shijing	國風	齊風	102	  甫田	102.2	1	2	2	維莠b桀b桀	維莠桀桀	。		102.2.b		桀	26	gjet	! *m-[k]<r>at // *N-[k]<r>at	ɡrad	月1	102.2.1.2	N-	[k]	<r>	at		at	0284a	284	gjet	remarkable; hero	jie2	N- [k] <r> at 
1664	shijing	國風	齊風	102	  甫田	102.2	2	1	1	無思遠a人	無思遠人	、		102.2.a		人	25	nyin	*ni[ŋ]	njin	真1	102.2.2.1		n		i[ŋ]		iŋ	0388a	388	nyin	(other) person	ren2	 n  i[ŋ] 
1665	shijing	國風	齊風	102	  甫田	102.2	2	2	1	勞心b怛b怛	勞心怛怛	。		102.2.b		怛	26	tat	*tˤat	taad	月1	102.2.2.2		tˤ		at		at	0149g	149	tat	grieved	da2	 tˤ  at 
1666	shijing	國風	齊風	102	  甫田	102.2	2	2	2	勞心b怛b怛	勞心怛怛	。		102.2.b		怛	26	tat	*tˤat	taad	月1	102.2.2.2		tˤ		at		at	0149g	149	tat	grieved	da2	 tˤ  at 
1667	shijing	國風	齊風	102	  甫田	102.3	1	1	1	a婉兮a孌兮	婉兮孌兮	、		102.3.a		婉	27	'jwonX	*[ʔ]o[n]ʔ	qonʔ	元3	102.3.1.1		[ʔ]		o[n]ʔ		on	0260g	260	'jwonX	beautiful	wan3	 [ʔ]  o[n]ʔ 
1668	shijing	國風	齊風	102	  甫田	102.3	1	1	2	a婉兮a孌兮	婉兮孌兮	、		102.3.a		孌	27	ljwenX (ljwenH)	*[r]onʔ	b-rons	元3	102.3.1.1		[r]		onʔ		on	0178k	178	ljwenX	beautiful	lian4	 [r]  onʔ 
1669	shijing	國風	齊風	102	  甫田	102.3	1	2	1	總角b丱兮	總角丱兮	。		102.3.b		丱	28	kwaenH	?	kroons	元3	102.3.1.2												    
1670	shijing	國風	齊風	102	  甫田	102.3	2	1	1	未幾見兮	未幾見兮	、				見	0	henH // kenH // henH	! *N-[k]ˤen-s // *[k]ˤen-s // *m-[k]ˤen-s	ɡeens	元2	102.3.2.1	m-	[k]ˤ		en	-s	en	0241a	241	henH	cause to appear, introduce	xian4	m- [k]ˤ  en -s
1671	shijing	國風	齊風	102	  甫田	102.3	2	2	1	突而b弁兮	突而弁兮	。		102.3.b		弁	28	bjenH	*C.[b]ro[n]-s	brons	元3	102.3.2.2	C.	[b]	r	o[n]	-s	on	0220a	220	bjenH	cap	bian4	C. [b] r o[n] -s
1672	shijing	國風	齊風	103	  盧令	103.1	1	1	1	盧a令a令	盧令令	、		103.1.a		令	29	leng // ljeng // ljengH (ljen)	*riŋ // *riŋ-s // *[r]ˤiŋ	ɡ-ren	元2	103.1.1.1		[r]ˤ		iŋ		iŋ	0823a	823	leng	脊令 tsjek.leng (a kind of water bird)	ling2	 [r]ˤ  iŋ 
1673	shijing	國風	齊風	103	  盧令	103.1	1	1	2	盧a令a令	盧令令	、		103.1.a		令	29	leng // ljeng // ljengH (ljen)	*riŋ // *riŋ-s // *[r]ˤiŋ	ɡ-ren	元2	103.1.1.1		[r]ˤ		iŋ		iŋ	0823a	823	leng	脊令 tsjek.leng (a kind of water bird)	ling2	 [r]ˤ  iŋ 
1674	shijing	國風	齊風	103	  盧令	103.1	1	2	1	其?a人美且a仁	其人美且仁	。		103.1.a	103.1.a	仁	29	nyin	*niŋ	njin	真1	103.1.1.2		n		iŋ		iŋ	0388f	388	nyin	kind	ren2	 n  iŋ 
1675	shijing	國風	齊風	103	  盧令	103.2	1	1	1	盧重a環	盧重環	、		103.2.a		環	30	hwaen	*C.ɢʷˤ<r>en	ɡʷraan	元1	103.2.1.1	C.	ɢʷˤ	<r>	en		en	0256n	256	hwaen	ring (n.)	huan2	C. ɢʷˤ <r> en 
1676	shijing	國風	齊風	103	  盧令	103.2	1	2	1	其?a人美且a鬈	其人美且鬈	。		103.2.a	103.2.a	鬈	30	gjwen	*[g]ʷren	ɡron	元3	103.2.1.2		[g]ʷ	r	en		en	0226e	226	gjwen	handsome (hair?)	quan2	 [g]ʷ r en 
1677	shijing	國風	齊風	103	  盧令	103.3	1	1	1	盧重a鋂	盧重鋂	、		103.3.a		鋂	31	mwoj	?	mɯɯ	之	103.3.1.1												    
1678	shijing	國風	齊風	103	  盧令	103.3	1	2	1	其人美且a偲	其人美且偲	。		103.3.a		偲	31	si	?	snɯ	之	103.3.1.2												    
1679	shijing	國風	齊風	104	  敝笱	104.1	1	1	1	敝笱在梁	敝笱在梁	、				梁	0	ljang	*raŋ	k-raŋ	陽	104.1.1.1		r		aŋ		aŋ	0738a	738	ljang	beam; bridge	liang2	 r  aŋ 
1680	shijing	國風	齊風	104	  敝笱	104.1	1	2	1	其魚魴a鰥	其魚魴鰥	。		104.1.a		鰥	32	kwean	*[k]ʷˤrə[n]	kruuns	文2	104.1.1.2		[k]ʷˤ	r	ə[n]		ən	0481a	481	kwean	a kind of fish	guan1	 [k]ʷˤ r ə[n] 
1681	shijing	國風	齊風	104	  敝笱	104.1	2	1	1	齊子歸止	齊子歸止	、				歸	0	kjw+j	*[k]ʷəj	?	微	104.1.2.1		[k]ʷ		əj		əj	0570a	570	kjw+j	return (v.)	gui1	 [k]ʷ  əj 
1682	shijing	國風	齊風	104	  敝笱	104.1	2	2	1	其從如a雲	其從如雲	。		104.1.a		雲	32	hjun	*[ɢ]ʷə[n]	ɢun	文2	104.1.2.2		[ɢ]ʷ		ə[n]		ən	0460b	460	hjun	cloud	yun2	 [ɢ]ʷ  ə[n] 
1683	shijing	國風	齊風	104	  敝笱	104.2	1	1	1	敝笱在梁	敝笱在梁	、				梁	0	ljang	*raŋ	k-raŋ	陽	104.2.1.1		r		aŋ		aŋ	0738a	738	ljang	beam; bridge	liang2	 r  aŋ 
1684	shijing	國風	齊風	104	  敝笱	104.2	1	2	1	其魚魴a鱮	其魚魴鱮	。		104.2.a		鱮	33	zjoX	?	sɢlaʔ	魚	104.2.1.2												    
1685	shijing	國風	齊風	104	  敝笱	104.2	2	1	1	齊子歸止	齊子歸止	、				歸	0	kjw+j	*[k]ʷəj	?	微	104.2.2.1		[k]ʷ		əj		əj	0570a	570	kjw+j	return (v.)	gui1	 [k]ʷ  əj 
1686	shijing	國風	齊風	104	  敝笱	104.2	2	2	1	其從如a雨	其從如雨	。		104.2.a		雨	33	hjuH	*[ɢ]ʷ(r)aʔ-s	ɢʷras	魚	104.2.2.2	C.	ɢʷ	(r)	aʔ		a	0100a	100	hjuX	rain	yu3	C. ɢʷ (r) aʔ 
