CHARACTER	Bijiang Bai	Classic Old Chinese	Comments	Dali Bai	Dialectal data	Early Postclassic Chinese	Eastern Han Chinese	English meaning	Four-angle index	Go-on	Japanese reading	Jianchuan Bai	Kan-on	Karlgren code	Late Postclassic Chinese	Middle Chinese	Middle Postclassic Chinese	Modern .Beijing. reading	Preclassic Old Chinese	Radical	Russian meaning.s.	Shijing occurrences	Sino-Tibetan etymology	Vietnamese reading	Western Han Chinese
懠									0					0593 j				qí		0					
微		mǝj	Min forms: Xiamen bi<sup>2</sup>, Chaozhou mui<sup>2</sup>, Fuzhou mi<sup>2</sup>. Also used for a homonymous *mǝj 'it is not that, if it were not' - which is historically a contraction of 毋 *mǝ + 維 *wij.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1608&root=config	mwɨj	mwǝj		6245					0584 d-e	mwɨj	mwɨj	mwɨj	wéi	mǝj	60	1) крошечный, маленький; слегка; 2) тонкий; глубокий; скрытый, сокровенный; скрыть, спрятать; приходить в упадок; 3) мелкий, низкий; плохой; мой; 4) разведывать, разузнавать; 5) не; не иметь; не быть, не являться; 6) 5-е число (<i>в телеграммах</i>); 7) Вэй (<i>фамилия</i>)	26.1, 26.5_, 36.1_, 36.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=++64&root=config		mǝj
係		kēh	Modern xì is irregular (on analogy with 系).			kiḕj	kiēh		8295					0876 c	kiḕj	kìej	kiḕj	xì	kēs (~ -ks)	9	1) связывать; находиться в связи (родстве); связь, преемство, <i>см.</i> 繫; 2) <i>предикативная связка</i> быть, являться, <i>соответствует</i> 是 <i>или</i> 是... 的				kēh
尿		nēwh	Viet. t- is rather strange here, so Viet. tiê`u may be quite independent from the Chinese word. Another possible explanation of the Viet. word would be a contraction of the Chinese euphemism for 'urine, urinating' 小便 (MC sjéw-bjèn), see 小. For *n cf. Xiamen zio<sup>6</sup>, Chaozhou zie<sup>6</sup> (reflecting an unattested variant MC *ńèw, OC *news), Fuzhou  nieu<sup>6</sup>, Jianou niau<sup>6</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+376&root=config	niḕw	niāwh		5505						niḕw	nìew	niḕw	niào	nēws (~ -ī-, ~ -kʷs)	85	урина; моча; мочиться		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+562&root=config	tiê`u	njāwh
嘬		shrwāć				ṣhwạ̄ś	ṣhwāś		0					0325 d	ṣhwạ̄̀j	c̣hwạ̀j	ṣhwạ̄̀j	chuài	shrōts	0					ṣhwāś
纂		cwā́n	Also used (since Jin) for a homonymous *cōn (or *ʒōn = 攢 q.v. ?) 'to colect, gather'.			cwā́n	cwā́n		8275	san			san	0174 d	cwā́n	ʒwấn	cwā́n	zuǎn	cōnʔ	120	1) составлять; сводить вместе; компилировать; сводный; компиляция; сборник; 2) продолжать, следовать за...; 3) тканая кайма, широкая тесьма; 4) женские локоны				cwā́n
紕		b(h)e	Also read *b(h)ij-s (MC bjì) id. During LZ used also for *phij (MC phji, Pek. pī) 'inferior silk stuff'; *phij / *phej (MC phje) / *pīj (MC piej, Pek. bī) 'error'.			b(h)je	b(h)je		6930					0566 t	b(h)je	be	b(h)je	pí	b(h)ej	120	1) убирать, украшать, обставлять (<i>напр. комнату</i>); 2) бахрома; каемка, бордюр; оторочка, обметка; 3) ошибочный, неверный; [pī] грубый, небрежный	53.1_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+266&root=config		b(h)e
服		bǝk	Probably same etymon as 伏 *bǝk 'to lie down, put down' q. v., for which there is evidence in favour of OC *b- (the Xiamen colloquial reading pɔk8).  <P>&nbsp;&nbsp;&nbsp;    The character is also used for a homonymous *bǝk 'clothes, garment'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+595&root=config	bwɨk	bwǝk		5956					0934 d-f	buk	bük	buk	fú	bǝk	74	1) платье, одежда; одеваться; 2) траурные одежды, траур; 3) принимать (<i>пищу</i>, <i>лекарство</i>), глотать; доза, прием; 4) подчиняться; повиноваться, слушаться; послушный, покорный; 5) служить; нести повинности; 6) привыкнуть к...; приспособиться к...; 7) ехать на..., сесть на...; 8) <i>древн.</i> подвластная территория; 9) Фу (<i>фамилия</i>)	1.2_, 2.2, 47.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+356&root=config		bǝk
乳		nó	For *ń- cf. Xiamen ʒu<sup>3</sup>, Chaozhou zu<sup>3</sup>, Fuzhou ü<sup>3</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+471&root=config	ńwó	ńwá		6906					0135 a	ńwó	ńǘ	ńwó	rǔ	noʔ	5	1) груди; вымя; сосцы; 2) молоко; 3) кормить грудью; 4) новорожденный, сосунок, детеныш; 5) рожать; высиживать (<i>птенцов</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+593&root=config	nhũ	nwá
甜		lhēm	For *lh cf. Xiamen thĩ<sup>2</sup>.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1236&root=config	dhjem	lhjam		1025						dhjem	diem	dhjem	tián	lhēm	135	1) сладкий, вкусный; 2) привлекательный		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1854&root=config		lhjam
簟		lī́m	For *l- cf. Chaozhou tiam<sup>4</sup>; Longzhou tēmʔ (*dēm). Cf. PAN *tilǝm 'mat' (Peiros 1998, 224).			diḗm	liǝ̄́m		0					0646 j-k	diḗm		diḗm	diàn	līmʔ (~ -ē-)	0					ljǝ̄́m
鰭									1589					0552 m-n				qí		195	1) плавники (<i>рыбы</i>); 2) <i>ав.</i> несущие поверхности				
疥		krēć			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+807&root=config	kiẹ̄ś	kriāś		2701					0327 f-g	kiẹ̄̀j	kạ̈̀j	kiẹ̄̀j	jiè	krēts	104	чесотка; чесаться, зудеть				krjāś
魂		w(h)ǝ̄n			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1945&root=config	w(h)ǝ̄n	w(h)ǝ̄n		7471					0460 g	w(h)ǝ̄n	ɣon	w(h)ǝ̄n	hún	w(h)ǝ̄n	194	душа; дух; духовное начало в человеке, чувство		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2606&root=config		w(h)ǝ̄n
妍		ŋhēn	For *ŋh cf. Fuzhou ŋieŋ<sup>1</sup>.			ŋhiēn	ŋhiān		2351						ŋhiēn	ŋien	ŋhiēn	yán	ŋhēn	38	красивый, прекрасный, прелестный; изящный; законченный, совершенный				ŋhjān
鬨		g(h)ōŋh	Also read *g(h)rōŋ-s, MC ɣạ̀uŋ id.			gṑŋ (~ ɣ-)	gōŋh (~ ɣ-)		3359						gwṑŋ (~ ɣ-)	ɣùŋ	gṑŋ (~ ɣ-)	hòng	g(h)ōŋs	191	1) драка; ссора; склока; свалка; шум, гам; 2) прогонять, отгонять (<i>окриком</i>); 3) гнать; гнаться за...; 4) взлететь, взвинтиться (<i>о ценах</i>)		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2452&root=config		gōŋh (~ ɣ-)
隅		ŋ(h)o				ŋ(h)wo	ŋ(h)wa		3996					0124 i	ŋ(h)wo	ŋü	ŋ(h)wo	yú	ŋ(h)o	170	1) угол; 2) уединенное место; захолустье; далекие края	42.1_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2780&root=config		ŋ(h)wa
屐		ghrek	For *gh cf. Fuzhou khiak<sup>8</sup>.			ghek	ghrek		0						ghek	gäik	ghek	jī	ghrek	0					ghrek
泥	ne7-	nǝ̄j	For *n- cf. Min forms: Xiamen, Chaozhou ni<sup>2</sup>, Fuzhou nä<sup>2</sup>, Jianou nai<sup>2</sup>. Also read *n(h)ǝ̄jʔ, MC níej, Mand. nǐ 'be plentiful, numerous'. Standard Sino-Viet. is nê.	ne7	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+611&root=config	nǝ̄j	nǝ̄j		7006			ni7-		0563 d	nǝ̄j	niej	nǝ̄j	ní	nǝ̄j	85	1) грязь, слякоть, трясина; грязный, липкий; обрызгать грязью; испачкаться; 2) необожженная глина; глиняный; глинобитный; известка, штукатурка; штукатурить; лепить; [nì] 1) погрязнуть (<i>в чем-либо</i>); предаваться (<i>привычке</i>); 2) прилипнуть; 3) удерживать, не пускать; [nǐ] 1) густой; обильный (<i>напр. о росе</i>); 2) мягкий и блестящий, глянцевитый	36.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1478&root=config	nề	nǝ̄j
吪		ŋ(h)wāj				ŋ(h)wā	ŋ(h)wǟ		2470					0019 d	ŋ(h)wā	ŋwâ	ŋ(h)wā	hōng	ŋ(h)ōj	30	阿吽 <i>транскрипц.</i> акын				ŋ(h)wāj
豕									5571									shǐ		152	свинья				
迻		Łaj	= 移 q.v.			źe	źe		0					0003 r-s	je	je	je	yí	Łaj	0					laj
諠		w̥an				hjwan	hjwan		32					0164 z	hjwǝn	xwǝn	hjwǝn	xuān	swar	149	1) забывать; обманывать, <i>см.</i> 諼; 2) кричать, орать, <i>см.</i> 喧				w̥an
莊					response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1274&root=config				141					0727 q				zhuāng		140	1) деревня; хутор; посевы; 2) землевладелец; 3) хлебороб, крестьянин; 4) фирма; лавка; контора; 5) степенный; достойный; серьезный; 6) <i>сокр.</i> Чжуанцзы (<i>философ</i>); 7) Чжуан (<i>фамилия</i>)				
勇		lóŋ			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+690&root=config	źóŋ	źóŋ		4746					1185 k, f-g	jóŋ	jö́uŋ	jóŋ	yǒng	loŋʔ	19	1) храбрость, отвага, мужество; храбрый, бравый, отважный; герой, богатырь; 2) нерегулярные войска; добровольцы		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1459&root=config	dũng	lóŋ
霏		phǝj	With radical 173 雨 used for 'be falling incessantly, heavily (of snow)'; with radical 187 馬 used for 'be running unceasingly (of horses)'.			phwɨj	phwǝj		2739					0579 j	phwɨj	phwɨj	phwɨj	fēi	phǝj	173	снегопад; снег с дождем	41.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+196&root=config		phǝj
隻		tek	The regular Sino-Viet. form is chích.			ćek	ćek		5994						ćek	ćek	ćek	zhī	tek (~ -ia)	172	один, штука; единичный; нечетный; <i>счетный суффикс единичных предметов</i> (<i>напр. из пары</i>); <i>счетный суффикс для некоторых животных и птиц</i>		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+934&root=config	chiếc	tek
棘		kǝk				kɨk	kǝk		5384					0911 a-b	kɨk	kik	kɨk	jí	kǝk	75	1) терновник; терния; иглы; 2) затруднения	32.1, 32.2	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2243&root=config		kǝk
梜									0					0630 f						0					
履		r(h)íj	Also read lǚ in Pek.; this is a secondary reading (due to confusion with 屢?).			l(h)jíj	r(h)jǝ́j		6266						l(h)jí	lí	l(h)jíj	lǚ	r(h)ijʔ	44	1) туфли, обувь; 2) топтать, попирать ногами; ходить по...; 3) поступать; выполнять; действовать, практиковать; 4) территория, земля; место; на месте; 5) благополучие, счастье	4.1			r(h)jǝ́j
系		gēh	Cf. 係.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+443&root=config	giḕj	giēh		8293					0876 a-b	giḕj	ɣièj	giḕj	xì	gēs (~ -ks)	120	1) связь, преемство; наследственная связь; генеалогия; 2) система; порядок; ряд; 3) комплекс; факультет; группа; клика; 4) <i>мат.</i> следствие				gēh
銶									0					1066 l				qíu		0					
糞		pǝnh	In Viet. cf. also phân id. (tone is irregular in both readings).		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2280&root=config	pwɨ̀n	pwǝnh		7857					0472 a	pwɨ̀n	pǜn	pwɨ̀n	fèn	pǝrs	119	1) кал, помет, навоз, нечистоты, экскременты; 2) дрянной, плохой; 3) удобрения; удобрять землю; 4) вычищать, убирать		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=++51&root=config	phâ`n	pǝnh
顧		kāh			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2527&root=config	kā̀	kāh		8072					0053 g	kā̀	kò	kā̀	gù	kāʔs	181	1) повернуть голову назад; оглянуться; 2) наблюдать, лично посмотреть; 3) считаться с...; учитывать; заботиться о...; 4) размышлять; подумать; забота; 5) внимание; визит, посещение; 6) однако; напротив; все же; но вот (<i>в начале абзаца или предложения</i>); 7) Гу (<i>фамилия</i>)	29.1_, 30.1	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2813&root=config		kāh
燁									8566					0682 a-b				jiāo		86	1) жечь, обжигать; обожженный, пострадавший от огня; ожог, <i>вм.</i> 焦; 2) факел				
活		ghwāt	For OC *ghʷ- cf. Min forms: Xiamen uaʔ<sup>8</sup>, Chaozhou ap<sup>8</sup>, Fuzhou uak<sup>8</sup>. Aldo used in a reduplication *kʷāt-kʷāt (MC kwât, Pek. guo) 'to purl (as running water)'.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+790&root=config	wāt	wāt		1307					0302 m	wāt	ɣwât	wāt	huó	ghʷāt	85	1) жить, быть в живых; живой; жизненный; 2) действовать; действенный, деятельный; действующий (<i>напр. вулкан</i>); деятельность, работа; 3) гибкий, подвижной, изменчивый; проточный (<i>о воде</i>); текущий (<i>счет</i>); скользящий (<i>узел</i>); 4) существование; быт; средства к существованию; занятие, работа; 5) месить (<i>глину</i>); 6) похожий, вылитый; [guā] шум воды	31.5_, 57.4_			wāt
采		shǝ̄́	Also read cài, MC chл̀j, OC *shǝ̄ʔ-s 'appanage' (Sch.: "what is plucked").  The graph is used also for a number of homonymous words:     <P>&nbsp;&nbsp;&nbsp;    1) *shǝ̄ʔ 'color, pigment';     <P>&nbsp;&nbsp;&nbsp;    2) *shǝ̄ʔ 'affairs, tasks, works';     <P>&nbsp;&nbsp;&nbsp;    3) *shǝ̄ʔ 'name of part of the day' (around 8 am).			shǝ̄́	shǝ̄́		5275					0942 a-c	chǝ̄́j	chʌ́j	shǝ̄́	cǎi	shǝ̄ʔ	165	1) разноцветный, цветной, <i>вм.</i> 彩; 2) выбирать; собирать, срывать, <i>вм.</i> 採; 3) Цай (<i>фамилия</i>)	1.3_, 8.1_, 8.2, 8.3, 13.1, 13.2, 14.2, 14.3, 15.1, 35.1, 48.1, 48.2, 48.3, 54.3	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=1192&root=config		shǝ̄́
咢									4443					0788 f-g				è		30	1) <i>древн.</i> отругиваться; перебранка, <i>см.</i> 噩; 2) лезвие (<i>меча</i>); ребро (<i>крыши</i>)				
乎		wā	Obviously related to 于 *wa q.v. Also used for homonymous *wā 'postvb. interrogative particle', as well as for  the  interjection  *wā (in bisyllabic exclamations; in this  meaning  also written as 虖).			wō	wā		3244	o, go	go;ko;ka;ya		ko	0055 a-g	wō	ɣo	wō	hū	wā	4	1) <i>вопросительная частица в вэньяне, соответствующая разговорному</i> 嗎; 2) <i>конечная частица, подчеркивающая утверждение, вопрос, восклицание, соответствует разговорному</i> 呢, 哪; 3) <i>междометие</i>; 4) <i>предлог, вм.</i> 於 в на, от, к	25.1, 25.2, 36.1, 36.2, 48.1, 48.2, 48.3			wā
揭		kat	Also read *krat (MC ket, FQ 居列), *gat (MC gǝt, FQ 其謁), *grat (MC get, FQ 渠列), *khrat (MC khet, FQ 丘謁) id., as well as *khrat-s (MC khèj, FQ 去例, Pek. qì) 'to lift one's clothes' (thus in Shi 34.1). Viet. cất is colloquial; regular Sino-Viet. is khiết. Cf. PAN *sakat 'rise, climb up' (Sag. 43).			kat	kat		4292					0313 n	kǝt	kǝt	kǝt	jiē	kat	64	1) вскрывать; разоблачать; разгадывать; 2) объявлять; публиковать; 3) высоко поднять; 4) ободрать, соскоблить, снять; 5) занимать, брать взаймы; [qì] поднимать платье (<i>напр. переходя вброд реку</i>)	34.1_, 57.4_		cất	kat
繕		d(h)anh	Probably derived from 善 *d(h)arʔ "good".			ʒ́(h)àn	ʒ́(h)anh		1208					0205 f	ʒ́(h)ǝ̀n	ʒ́èn	ʒ́(h)ǝ̀n	shàn	d(h)arʔs	120	1) написать; переписать набело; снять копию; 2) привести в порядок, починить; приготовить				d(h)anh
蓬		bhōŋ	For *bh- cf. Xiamen phaŋ<sup>2</sup>, Chaozhou phoŋ<sup>2</sup>, Fuzhou phuŋ<sup>2</sup>. Also used for a homonymous *bhōŋ 'be luxuriant' (perhaps related to 豐 *phuŋ id.)		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2057&root=config	bhōŋ	bhōŋ		6510					1197 y	bhwōŋ	buŋ	bhōŋ	péng	bhōŋ	140	<i>бот.</i> полынь индийская (Artemisia indica); <i>перен.</i> а) растрепанный, всклокоченный; путаница; б) бедный (<i>о жилище</i>)	25.2_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+385&root=config		bhōŋ
抽		ƛhu			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+575&root=config	ṭhiw	l̥ǝw		1805					1079 f	ṭhǝw	ṭhǝw	ṭhǝw	chōu	ƛhu	64	1) тянуть, вытаскивать, извлекать; курить (<i>табак</i>); 2) вытянуть (<i>хлыстом</i>); 3) вычитать, взыскивать				ƛhǝw
尾	mer1-	mǝ́j	For OC *m- cf. Min forms: Xiamen be<sup>3</sup>, Chaozhou bue<sup>3</sup>, Fuzhou muoi<sup>3</sup>, Jianou müɛ<sup>3</sup>.	mi3-	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+377&root=config	mwɨ́j	mwǝ́j		7222			ŋü1-		0583 a-b	mwɨ́j	mwɨ́j	mwɨ́j	wěi	mǝjʔ	44	1) хвост; 2) конец; конечный остаток; дробь; 3) сзади, вслед; по пятам; 4) <i>счетный суффикс рыб</i>; 5) Вэй (<i>фамилия</i>)	10.3_, 37.4	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+138&root=config		mǝ́j
演		Łán	Regular Sino-Viet. is diễn.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1838&root=config	źén	źán		8161					0450 k-l	jén	jén	jén	yǎn	Łarʔ	85	1) огласить, прочитать; произнести (<i>речь</i>), выступить; 2) показывать, демонстрировать; представлять, играть на сцене; 3) обучать(ся), тренировать(ся); практиковаться; учебный; 4) распространять(ся); развивать(ся); пространный; протяжный, широкий; развитие			dàn	lán
壺	vu2	g(h)ā	Viet. hũ is probably a late loan; regular Sino-Viet. is hồ.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1362&root=config	gā (~ ɣ-)	gā (~ ɣ-)		518					0056 a-d	gā (~ ɣ-)	ɣo	gā (~ ɣ-)	hú	g(h)ā	33	1) чайник (<i>для чая и вина</i>); фляга; 2) наливать в чайник; 3) Ху (<i>фамилия</i>)			hũ	gā (~ ɣ-)
諾		nhāk	For *nh cf. Jianou nɔ<sup>7</sup>.			nhāk	nhāk		1113					0777 f	nhāk	nâk	nhāk	nuò	nhāk	149	1) согласиться; обещать; 2) ответить утвердительно; да!				nhāk
哀		ʔǝ̄j			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+697&root=config	ʔǝ̄j	ʔǝ̄j		5740	o, ai	ai;aware;awaremu;kanashimi;kanashii		ai	0550 h-i	ʔǝ̄j	ʔʌj	ʔǝ̄j	āi	ʔǝ̄j	30	1) ах!, увы!; скорбеть, горевать; скорбь, грусть; 2) оплакивать, убиваться; 3) осиротевший; плачущий; траурный; 4) жалеть; жалость; выражать соболезнование; жалостно; жалобно; 5) Ай (<i>фамилия</i>)				ʔǝ̄j
莒		krá	The meaning 'name of a plant', although probably original, is attested only since Han time.			kó	krá		1453					0076 l	kó	kö́	kó	jǔ	kraʔ	140	1) <i>сокр.</i> Цзюйсянь (<i>уезд в провинции Шаньдун</i>); 2) Цзюй (<i>древнее княжество</i>)				krá
戔		ʒān	Also read *ʒ́(h)ǝ̄n, MC ʒien, Pek. qián 'accumulated'.			ʒān	ʒān		6789					0155 a-b	ʒān	ʒân [+cien]	ʒān	cán [+jiān]	ʒ́ān [+ćēn]	62	маленький; узкий, ограниченный; ничтожный				ʒān
買	ma1	mrḗ	For *m cf. Xiamen mai<sup>3</sup>, Chaozhou boi<sup>3</sup>, Fuzhou mä<sup>3</sup>, Jianou mai<sup>3</sup>.	mer3	response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1532&root=config	miẹ̄́	mriḗ		7968			mɛ2			miẹ̄́	mạ̈́	miẹ̄́	mǎi	mrēʔ	154	купить, приобрести		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+136&root=config	mãi	mrḗ
匚									764					0741 a-b				fāng		22	<i>древн.</i> ящик				
鼙									2294					0874 p				pí		207	鼙鼓 военный барабан				
剄									0					0831 e				yi		0					
孿		srwānh	Also read *sron-s, MC ṣwèn, Pek. shuàn id.			ṣwạ̄̀n	ṣwānh		0					0178 q	ṣwạ̄̀n	ṣwạ̀n	ṣwạ̄̀n	shuàn	srōns	0			response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=+825&root=config		ṣwānh
韋		w(h)ǝj				w(h)ɨj	w(h)ǝj		2533					0571 a-c	w(h)ɨj	wɨj	w(h)ɨj	wéi	w(h)ǝj	178	1) дубленая кожа; 2) мягкий, слабый; 3) нарушать, <i>см.</i> 違; 4) Вэй (<i>фамилия</i>)				w(h)ǝj
棣		lhǝ̄ć	Also used in the die-sheng 唐棣 *lhāŋ-*lhǝ̄Ts (which allows us to reconstruct *lh-). Sometimes used as a loan for 逮 *l(h)ǝ̄ps 'to reach, be perfect' q.v. (thus in Shi 26.3).			dhǝ̄ś	lhǝ̄ś		5558					0509 f	dhǝ̄̀j	dìej	dhǝ̄̀j	dì	lhǝ̄ts (~ -js, ~ -ps)	75	1) <i>бот.</i> таволга японская (Kerria japonica); 2) перен. брат, братья, <i>вм.</i> 弟; 3) Ди (<i>фамилия</i>)	24.1			lhǝ̄ś
芰		g(h)reh				g(h)è	g(h)reh		6075					0864 l	g(h)è	gè	g(h)è	jì	g(h)res	140	<i>бот.</i> водяной каштан (Trapa natans)				g(h)reh
氣		khǝjh	Attested already in Yijing, but absent in Schüssler's dictionary.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=+977&root=config	khɨś	khǝś		7637					0517 c	khɨ̀j	khɨ̀j	khɨ̀j	qì	khǝjs (~ -ts)	84	1) воздух, атмосфера; газ; пар; воздушный, духовой; пневматический; надувной; 2) дыхание; дух; эфир; жизненная сила; 3) настроение; темперамент, характер; нрав; 4) гнев; злость; разозлить(ся); 5) внешний облик; манеры; вкусы; интересы; 6) запах; нюхать; 7) судьба, рок; 8) сезон; погода; 9) компания; группа единомышленников; 10) подносить пищу, <i>см.</i> 餼		response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2772&root=config	khí	khǝjh
符		b(h)o	Regular Sino-Viet. is phù.		response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=1255&root=config	b(h)wo	b(h)wa		3135					0136 m	b(h)wo	bü	b(h)wo	fú	b(h)o	118	1) совпадать; соответствовать; согласовывать, подлаживать(ся); 2) удостоверять; верительная бирка, удостоверение; условный знак; амулет			bùa	b(h)wa
騤									0					0605 h				kǔi		0					
闊		khwāt			response.cgi?single=1&basename=%2fdata%2fchina%2fdoc&text_number=2329&root=config	khwāt	khwāt		3381					0302 q	khwāt	khwât	khwāt	kuò	khʷāt	169	1) широкий, просторный; ширина, шириною в...; 2) отдаленный, далекий; 3) богатый; щедрый; роскошный, шикарный	31.4_, 31.5_	response.cgi?single=1&basename=%2fdata%2fsintib%2fstibet&text_number=2071&root=config		khwāt
