NAME	ALT_NAME	PINYIN	HANZI	LATITUDE	LONGITUDE	BAIDU	GLOTTOLOG	ISO	FAMILY	SUBGROUP	SUBGROUP_CHINESE	SUBGROUP_PINYIN	CLASSIFICATION_KURPASKA	NOTE
Yinchuan		Yínchuān	银川	38.546662	106.240082		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Lanyin	
Lanzhou		Lánzhōu	兰州	36.080515	103.838425		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Lanyin	
Xining		Xīníng	西宁	36.671283	101.776886		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Central Plain	
Wulumuqi	Ürümqi	Wūlǔmùqí	乌鲁木齐	43.8216271	87.4226688		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà	Guanhua, Lanyin	
Rongcheng		Róngchéng	荣成	37.130642	122.434269		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		
Jixi		Jìxī	绩溪	30.071111	118.592222		huiz1242	czh	Sinitic	Hui	徽	Huī		
Loudi		Lóudî	娄底	27.733333	111.9281883		xian1251	hsn	Sinitic	Xiang	湘	Xiāng		
Guilin		Guīlín	桂林	25.266667	110.283333		ping1244	(wuu)	Sinitic	Pinghua	平话	Pínghuà		
Yingshan		Yīngshān	英山	30.7462984	115.3468074		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		It is not clear which Yingshan is meant, as there are many districts which could qualify as the name. Juding from the fact that Yingshan clusters closely with Wuhan, it is likely that it is 英山, east of Wǔhàn.
Anyi		Ānyì 	安義	28.84359	115.54773		ganc1239	gan	Sinitic	Gan	赣	Gàn		Anyi is a city in the county of Nanchang.
Liancheng		Líanchéng	连城	25.566667	116.783333		hak1236	hak	Sinitic	Hakka	客家	Kèjiā		
Hankou		Hànkǒu	汉口	30.581179	114.272597		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		Hankou remains a commonly used name for the part of Wuhan urban area north of the Yangtze and Han Rivers. [W] Hankou is the old name for a city that is now part of Wuhan.
Ningxia		Níngxià	宁夏	38.546662	106.240082		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		Ningxia is a region in China, containing the city Yinchuan.
Yuci		Yúcì	榆次	37.6394177	112.5650222		mand1415	cmn	Sinitic	Mandarin	管话	Guānhuà		In the map shown in Hamed2006, Yuci is placed close to Yingshan. however, comparing this with other maps, there is no place that could be identified with the name Yuci. I assume that, given that Yuci clusters as Northern dialect, it is much higher up in the North.
Zhangping		Zhāngpíng	漳平	25.283333	117.416667		minn1241	nan	Sinitic	Min	闽	Mǐn		
Ningbo		Níngbō	宁波	29.866667	121.533333		taih1244	(wuu)	Sinitic	Wu	吴	Wú		
Shanghai_B		Shànghǎi	上海	31.222902	121.475372		taih1244	(wuu)	Sinitic	Wu	吴	Wú	Wu, Taihu	
Heping		Hépíng	和平	27.112778	117.297222		minb1244	mnp	Sinitic	Min	闽	Mǐn		
Zhenqian		Zhènqián	鎮前	25.2474987	119.2778522		minb1244	mnp	Sinitic	Min	闽	Mǐn		
Jiangshan		Jiāngshān	江山	28.5629681	118.3206425	http://baike.baidu.com/view/763966.htm	wuch1236	wuu	Sinitic	Wu	吴	Wú		
Jiangyong		Jiāngyǒng					xian1251	hsn	Sinitic	Xiang	湘	Xiāng		
Old_Chinese		Shànggǔ Hànyǔ	上古汉语						Sinitic	Old_Chinese				
Middle_Chinese		Zhōnggǔ Hànyǔ	中古汉语						Sinitic	Middle_Chinese				
Common_Chinese									Sinitic	Middle_Chinese				
Jianchuan	Bai (Jianchuan), Jianchuan Bai	Jiànchuān	剑川	26.538056	99.910000		jian1239	bca	Bai	Central				
Eryuan		Ěryuán	洱源	26.0991374	99.9416161		eryu1239	bca	Bai	Central				
Heqing		Hèqìng	鹤庆	26.5536208	100.1396921		heqi1238	bca	Bai	Central				
Lanping		Lánpíng	兰坪	26.5158555	99.2581092		lanp1242	bca	Bai	Central				
Zhoucheng		Zhōuchéng	周城	25.8958633	100.0987848			bfs	Bai	Southern				
Qiliqiao		Qīlǐqiáo	七里桥	25.6553283	100.1709288			bfs	Bai	Southern				
Yunlong		Yúnlóng	云龙	25.9223745	99.0352884		yunl1238	bca	Bai	Central				
Xiangyun		Xiángyún	祥云	25.5313657	100.4478932		xian1250	bfs	Bai	Southern				
Luobenzhuo		Lùběnzhuó	洛本卓	26.4240223	98.8862088			bfc	Bai	Northern				
Late_Han_Chinese									Sinitic	Old_Chinese				
Dancun		Dàncūn	淡村	22.2750324	112.7199202		yuec1235	yue	Sinitic	Yue	粤	Yuè	Yue, Siyi	Yue-Hashimoto on Dancun: «Dancun is a small village lying in the central northern part of Taishan county and situated about thirty li west of Taicheng, while Baishui is within ten li west of it.»
Bijiang	Bai (Bijiang), Bijiang Bai							bfc	Bai	Northern				
Dali	Bai (Dali), Dali Bai							bfs	Bai	Southern				
