ID	STRUCTURE	STRUCTURE_ID	DOCULECT	DOCULECT_IN_SOURCE	VALUE
111	The word for ‘son’ is ér(zi), or cognate to it.	11	Beijing	Bj	+
112	The word for ‘son’ is ér(zi), or cognate to it.	11	Taiyuan	Ty	+
113	The word for ‘son’ is ér(zi), or cognate to it.	11	Yangzhou	Yz	+
114	The word for ‘son’ is ér(zi), or cognate to it.	11	Suzhou	Sz	+
115	The word for ‘son’ is ér(zi), or cognate to it.	11	Wenzhou	Wz	+
116	The word for ‘son’ is ér(zi), or cognate to it.	11	Changsha	Cs	−
117	The word for ‘son’ is ér(zi), or cognate to it.	11	Shuangfeng	Sf	−
118	The word for ‘son’ is ér(zi), or cognate to it.	11	Nanchang	Nc	−
119	The word for ‘son’ is ér(zi), or cognate to it.	11	Meixian	Mx	−
120	The word for ‘son’ is ér(zi), or cognate to it.	11	Guangzhou	Gz	−
121	The word for ‘son’ is ér(zi), or cognate to it.	11	Jiangyong	Jy	−
122	The word for ‘stand’ is zhàn, or cognate to it.	12	Beijing	Bj	+
123	The word for ‘stand’ is zhàn, or cognate to it.	12	Taiyuan	Ty	+
124	The word for ‘stand’ is zhàn, or cognate to it.	12	Yangzhou	Yz	+
125	The word for ‘stand’ is zhàn, or cognate to it.	12	Suzhou	Sz	−
126	The word for ‘stand’ is zhàn, or cognate to it.	12	Wenzhou	Wz	−
127	The word for ‘stand’ is zhàn, or cognate to it.	12	Changsha	Cs	±
128	The word for ‘stand’ is zhàn, or cognate to it.	12	Shuangfeng	Sf	−
129	The word for ‘stand’ is zhàn, or cognate to it.	12	Nanchang	Nc	−
130	The word for ‘stand’ is zhàn, or cognate to it.	12	Meixian	Mx	−
131	The word for ‘stand’ is zhàn, or cognate to it.	12	Guangzhou	Gz	−
132	The word for ‘stand’ is zhàn, or cognate to it.	12	Jiangyong	Jy	−
133	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Beijing	Bj	+
134	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Taiyuan	Ty	+
135	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Yangzhou	Yz	+
136	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Suzhou	Sz	−
137	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Wenzhou	Wz	−
138	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Changsha	Cs	−
139	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Shuangfeng	Sf	−
140	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Nanchang	Nc	−
141	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Meixian	Mx	−
142	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Guangzhou	Gz	−
143	The verb in the expression ‘to rain’ is xià, or cognate to it.	13	Jiangyong	Jy	−
144	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Beijing	Bj	+
145	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Taiyuan	Ty	+
146	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Yangzhou	Yz	+
147	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Suzhou	Sz	±
148	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Wenzhou	Wz	±
149	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Changsha	Cs	+
150	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Shuangfeng	Sf	−
151	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Nanchang	Nc	+
152	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Meixian	Mx	−
153	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Guangzhou	Gz	−
154	The verb for ‘to walk’ is zǒu, or cognate to it.	14	Jiangyong	Jy	−
155	The gender marker for animals is prefixed.	15	Beijing	Bj	+
156	The gender marker for animals is prefixed.	15	Taiyuan	Ty	+
157	The gender marker for animals is prefixed.	15	Yangzhou	Yz	+
158	The gender marker for animals is prefixed.	15	Suzhou	Sz	+
159	The gender marker for animals is prefixed.	15	Wenzhou	Wz	±
160	The gender marker for animals is prefixed.	15	Changsha	Cs	−
161	The gender marker for animals is prefixed.	15	Shuangfeng	Sf	−
162	The gender marker for animals is prefixed.	15	Nanchang	Nc	−
163	The gender marker for animals is prefixed.	15	Meixian	Mx	−
164	The gender marker for animals is prefixed.	15	Guangzhou	Gz	−
165	The gender marker for animals is prefixed.	15	Jiangyong	Jy	−
