ID	CHARACTER	PINYIN	DOCULECT	WORDFAMILY_CLASS	GLOSS	READING	VARIANT_CLASS	SOURCE
65	嗷	áo₂	Middle_Chinese		"To cry, clamor" [Shi].	ŋâu		Schuessler2007
66	嗷	áo₂	Old_Chinese		"To cry, clamor" [Shi].	ŋâu		Schuessler2007
67	嗷	áo₂	Late_Han_Chinese		"To cry, clamor" [Shi].	ŋɑu		Schuessler2007
68	熬	áo₃	Middle_Chinese		"To fry" [Zhouli],/"roast" [Li].	ŋâu		Schuessler2007
69	熬	áo₃	Old_Chinese		"To fry" [Zhouli],/"roast" [Li].	ngaw		Baxter1992
70	熬	áo₃	Old_Chinese		"To fry" [Zhouli],/"roast" [Li].	ŋâu		Schuessler2007
71	熬	áo₃	Late_Han_Chinese		"To fry" [Zhouli],/"roast" [Li].	ŋɑu		Schuessler2007
72	澳	ào₁	Middle_Chinese		"Inside" (of a realm) [Shi],/"bay, cove" was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.	ʔâuᶜ	澳	Schuessler2007
73	澳	ào₁	Old_Chinese		"Inside" (of a realm) [Shi],/"bay, cove" was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.	ʔûkh	澳	Schuessler2007
74	澳	ào₁	Late_Han_Chinese		"Inside" (of a realm) [Shi],/"bay, cove" was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.	ʔouᶜ	澳	Schuessler2007
75	隩	ào₁	Middle_Chinese		"Inside" (of a realm) [Shi],/"bay, cove" was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.	ʔâuᶜ	澳	Schuessler2007
76	隩	ào₁	Old_Chinese		"Inside" (of a realm) [Shi],/"bay, cove" was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.	ʔûkh	澳	Schuessler2007
77	隩	ào₁	Late_Han_Chinese		"Inside" (of a realm) [Shi],/"bay, cove" was acc. to Guō Pú (ca. 300 AD) a Jiāngnán (southern) word.	ʔouᶜ	澳	Schuessler2007
78	傲	ào₂	Middle_Chinese		"Proud, arrogant" [Shu]./NOTE:Etymology not clear.	ngâuᶜ		Schuessler2007
79	傲	ào₂	Old_Chinese		"Proud, arrogant" [Shu]./NOTE:Etymology not clear.	ŋâuh		Schuessler2007
80	傲	ào₂	Late_Han_Chinese		"Proud, arrogant" [Shu]./NOTE:Etymology not clear.	ŋɑuᶜ		Schuessler2007
81	八	bā₁	Middle_Chinese		"Eight" [OB, Shi].	pwăt		Schuessler2007
82	八	bā₁	Old_Chinese		"Eight" [OB, Shi].	prêt		Schuessler2007
83	八	bā₁	Late_Han_Chinese		"Eight" [OB, Shi].	pɛt		Schuessler2007
84	巴	bā₂	Middle_Chinese		"Python" [SW, Shanhaijing].	pa		Schuessler2007
85	巴	bā₂	Old_Chinese		"Python" [SW, Shanhaijing].	prâ		Schuessler2007
86	巴	bā₂	Late_Han_Chinese		"Python" [SW, Shanhaijing].	pa		Schuessler2007
87	笆	bā₃	Middle_Chinese		"A kind of bamboo from southwest China" [GY].	baᴮ,pa		Schuessler2007
88	笆	bā	Middle_Chinese		"Bamboo hedge or fence" [GY].	pa		Schuessler2007
89	疤	bā₄	Middle_Chinese		"Scar" [JY].	pa		Schuessler2007
90	疤	bā₄	Late_Han_Chinese		"Scar" [JY].	pa ?		Schuessler2007
91	豝	bā₅	Middle_Chinese		"Wild pig, pig" [Shi].	pa		Schuessler2007
92	豝	bā₅	Old_Chinese		"Wild pig, pig" [Shi].	prâ		Schuessler2007
93	豝	bā₅	Late_Han_Chinese		"Wild pig, pig" [Shi].	pa		Schuessler2007
94	犮	bá₁	Middle_Chinese		"To expel" (a person) [Zhouli].	buât		Schuessler2007
95	犮	bá₁	Old_Chinese		"To expel" (a person) [Zhouli].	bât		Schuessler2007
96	犮	bá₁	Late_Han_Chinese		"To expel" (a person) [Zhouli].	bɑt		Schuessler2007
97	拔	bèi,pèi	Middle_Chinese		"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	buâiᶜ	拔	Schuessler2007
98	拔	bèi,pèi	Old_Chinese		"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	bots	拔	Baxter1992
99	拔	bèi,pèi	Old_Chinese	⪤ bá₁ 犮	"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	bâts	拔	Schuessler2007
100	拔	bèi,pèi	Late_Han_Chinese		"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	bɑs	拔	Schuessler2007
101	沛	bèi,pèi	Middle_Chinese		"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	buâiᶜ	拔	Schuessler2007
102	沛	bèi,pèi	Old_Chinese		"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	bots	拔	Baxter1992
103	沛	bèi,pèi	Old_Chinese	⪤ bá₁ 犮	"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	bâts	拔	Schuessler2007
104	沛	bèi,pèi	Late_Han_Chinese		"Uprooted" 沛 [Shi],/"thinned out" (trees) 拔 [Shi],/"uprooted" figuratively of a person 沛 [Lunyu].	bɑs	拔	Schuessler2007
105	拔	bá	Middle_Chinese		"To pull up, uproot, be uprooted" [Yi, Shu].	bwăt		Schuessler2007
106	拔	bá	Old_Chinese	⪤ bá₁ 犮	"To pull up, uproot, be uprooted" [Yi, Shu].	brât		Schuessler2007
107	拔	bá	Late_Han_Chinese		"To pull up, uproot, be uprooted" [Yi, Shu].	bat		Schuessler2007
108	茇	bá₂	Middle_Chinese		"Roots of grass" [Huainan, SW]./NOTE:SW 377 considers this word related to {fā 發}/"lift up / out" and {fá₂ 伐}/"to plow" as the plow exposes the roots of the grass.	puât		Schuessler2007
109	茇	bá₂	Old_Chinese		"Roots of grass" [Huainan, SW]./NOTE:SW 377 considers this word related to {fā 發}/"lift up / out" and {fá₂ 伐}/"to plow" as the plow exposes the roots of the grass.	pât		Schuessler2007
110	茇	bá₂	Late_Han_Chinese		"Roots of grass" [Huainan, SW]./NOTE:SW 377 considers this word related to {fā 發}/"lift up / out" and {fá₂ 伐}/"to plow" as the plow exposes the roots of the grass.	pɑt		Schuessler2007
111	茇	bá₃	Middle_Chinese		"To camp on grassland" [Shi, Zuo].	buât		Schuessler2007
112	茇	bá₃	Old_Chinese		"To camp on grassland" [Shi, Zuo].	bat		Baxter1992
113	茇	bá₃	Old_Chinese		"To camp on grassland" [Shi, Zuo].	bât		Schuessler2007
114	茇	bá₃	Late_Han_Chinese		"To camp on grassland" [Shi, Zuo].	bɑt		Schuessler2007
115	跋	bá₃a	Middle_Chinese		"To trample on (with feet), trudge" [Shi],/"foot, base" (of a torch) [Li];/"the end of an arrow" [Shi]./NOTE:Possibly related to {bá₂ 茇}/"roots (of grass)", but that would be rather strained.	buât		Schuessler2007
116	跋	bá₃a	Old_Chinese		"To trample on (with feet), trudge" [Shi],/"foot, base" (of a torch) [Li];/"the end of an arrow" [Shi]./NOTE:Possibly related to {bá₂ 茇}/"roots (of grass)", but that would be rather strained.	bât		Schuessler2007
117	跋	bá₃a	Late_Han_Chinese		"To trample on (with feet), trudge" [Shi],/"foot, base" (of a torch) [Li];/"the end of an arrow" [Shi]./NOTE:Possibly related to {bá₂ 茇}/"roots (of grass)", but that would be rather strained.	bɑt		Schuessler2007
118	把	bǎ	Middle_Chinese		"A handful" [Guoyu],/"grasp" [Meng].	paᴮ		Schuessler2007
119	把	bǎ	Old_Chinese		"A handful" [Guoyu],/"grasp" [Meng].	prâʔ		Schuessler2007
120	把	bǎ	Late_Han_Chinese		"A handful" [Guoyu],/"grasp" [Meng].	paᴮ		Schuessler2007
121	垻	bà₁	Middle_Chinese		"Flat valley".	paᶜ		Schuessler2007
122	罷	bà₂	Middle_Chinese		"To stop, cease" (work etc.) tr. [Lun]./NOTE:Prob. not related to {bì₂₅ 畢}.	baɨᴮ		Schuessler2007
123	罷	bà₂	Old_Chinese		"To stop, cease" (work etc.) tr. [Lun]./NOTE:Prob. not related to {bì₂₅ 畢}.	brêʔ ?		Schuessler2007
124	罷	bà₂	Late_Han_Chinese		"To stop, cease" (work etc.) tr. [Lun]./NOTE:Prob. not related to {bì₂₅ 畢}.	baiᴮ		Schuessler2007
125	白	bái₁	Middle_Chinese		"Be white" [OB, BI, Shi] always has been a basic color term (Baxter JCLTA 19, 1983), also applied to silver.	bɐk		Schuessler2007
126	白	bái₁	Old_Chinese		"Be white" [OB, BI, Shi] always has been a basic color term (Baxter JCLTA 19, 1983), also applied to silver.	brâk		Schuessler2007
127	白	bái₁	Late_Han_Chinese		"Be white" [OB, BI, Shi] always has been a basic color term (Baxter JCLTA 19, 1983), also applied to silver.	bak		Schuessler2007
128	百	bǎi₁	Middle_Chinese		"Hundred" [BI, Shi]./NOTE:The OB graph is similar to, but not identical with, {bái₁ 白}/"white" (Unger Hao-ku  29, 1984).	pɐk		Schuessler2007
129	百	bǎi₁	Old_Chinese		"Hundred" [BI, Shi]./NOTE:The OB graph is similar to, but not identical with, {bái₁ 白}/"white" (Unger Hao-ku  29, 1984).	prâk		Schuessler2007
130	百	bǎi₁	Late_Han_Chinese		"Hundred" [BI, Shi]./NOTE:The OB graph is similar to, but not identical with, {bái₁ 白}/"white" (Unger Hao-ku  29, 1984).	pak		Schuessler2007
131	捭	bǎi₂	Middle_Chinese		"To open" [Guiguzi].	paɨᴮ		Schuessler2007
132	捭	bǎi₂	Old_Chinese		"To open" [Guiguzi].	prêʔ		Schuessler2007
133	捭	bǎi₂	Late_Han_Chinese		"To open" [Guiguzi].	pɛᴮ		Schuessler2007
134	敗	bài₁	Middle_Chinese		"To ruin, destroy" [Shi].	paiᶜ		Schuessler2007
135	敗	bài₁	Old_Chinese		"To ruin, destroy" [Shi].	prâts		Schuessler2007
136	敗	bài₁	Late_Han_Chinese		"To ruin, destroy" [Shi].	pas		Schuessler2007
137	敗	bài	Middle_Chinese		"To go to ruin, defeat" [OB, Shi].	baiᶜ		Schuessler2007
138	敗	bài	Old_Chinese		"To go to ruin, defeat" [OB, Shi].	ɦprats		Baxter1992
139	敗	bài	Old_Chinese	⪤ bài₁ 敗	"To go to ruin, defeat" [OB, Shi].	brâts		Schuessler2007
140	敗	bài	Late_Han_Chinese		"To go to ruin, defeat" [OB, Shi].	bas		Schuessler2007
141	拜	bài₂	Middle_Chinese		"To bend or put together" (the hands in salute),/"to salute" [BI, Shi]./NOTE:Etymology not clear.	păiᶜ		Schuessler2007
142	拜	bài₂	Old_Chinese		"To bend or put together" (the hands in salute),/"to salute" [BI, Shi]./NOTE:Etymology not clear.	prots		Baxter1992
143	拜	bài₂	Old_Chinese		"To bend or put together" (the hands in salute),/"to salute" [BI, Shi]./NOTE:Etymology not clear.	prâts		Schuessler2007
144	拜	bài₂	Late_Han_Chinese		"To bend or put together" (the hands in salute),/"to salute" [BI, Shi]./NOTE:Etymology not clear.	pas		Schuessler2007
145	粺	bài₃	Middle_Chinese		"Fine rice" [Shi].	baiᶜ		Schuessler2007
146	粺	bài₃	Old_Chinese		"Fine rice" [Shi].	bres		Baxter1992
147	粺	bài₃	Old_Chinese		"Fine rice" [Shi].	brêh		Schuessler2007
148	粺	bài₃	Late_Han_Chinese		"Fine rice" [Shi].	bɛᶜ		Schuessler2007
149	班	bān₁	Middle_Chinese		"To distribute" [BI, Shu] >/"spread out, scatter" [Zuo] >/"to arrange, classify" [Meng].	pwan		Schuessler2007
150	班	bān₁	Old_Chinese		"To distribute" [BI, Shu] >/"spread out, scatter" [Zuo] >/"to arrange, classify" [Meng].	prân		Schuessler2007
151	班	bān₁	Late_Han_Chinese		"To distribute" [BI, Shu] >/"spread out, scatter" [Zuo] >/"to arrange, classify" [Meng].	pan		Schuessler2007
152	斑	bān₂	Middle_Chinese		"Variegated" [Li] may either be the s. w. as {bān₁ 班}/"scatter"; or may be a derivation from {bó₉ 駁}/"mixed colors". In this case, OCM *prân would derive from earlier *pron.	pwan		Schuessler2007
153	斑	bān₂	Old_Chinese		"Variegated" [Li] may either be the s. w. as {bān₁ 班}/"scatter"; or may be a derivation from {bó₉ 駁}/"mixed colors". In this case, OCM *prân would derive from earlier *pron.	prân		Schuessler2007
154	斑	bān₂	Late_Han_Chinese		"Variegated" [Li] may either be the s. w. as {bān₁ 班}/"scatter"; or may be a derivation from {bó₉ 駁}/"mixed colors". In this case, OCM *prân would derive from earlier *pron.	pan		Schuessler2007
155	搬	bān₃	Middle_Chinese		"To move, transport", a post-classical word.	puân		Schuessler2007
156	搬	bān₃	Late_Han_Chinese		"To move, transport", a post-classical word.	pɑn		Schuessler2007
157	板	bǎn₁	Middle_Chinese		"Board, plank" [Shi].	pwanᴮ	板	Schuessler2007
158	板	bǎn₁	Old_Chinese		"Board, plank" [Shi].	prânʔ	板	Schuessler2007
159	板	bǎn₁	Late_Han_Chinese		"Board, plank" [Shi].	panᴮ	板	Schuessler2007
160	版	bǎn₁	Middle_Chinese		"Board, plank" [Shi].	pwanᴮ	板	Schuessler2007
161	版	bǎn₁	Old_Chinese		"Board, plank" [Shi].	prânʔ	板	Schuessler2007
162	版	bǎn₁	Late_Han_Chinese		"Board, plank" [Shi].	panᴮ	板	Schuessler2007
163	昄	bǎn₂	Middle_Chinese		"Great" (of demeanor, domain, god) [Shi].	pwanᴮ,bwanᴮ		Schuessler2007
164	昄	bǎn₂	Old_Chinese		"Great" (of demeanor, domain, god) [Shi].	prânʔ,*brânʔ ?		Schuessler2007
165	昄	bǎn₂	Late_Han_Chinese		"Great" (of demeanor, domain, god) [Shi].	panᴮ,banᴮ		Schuessler2007
166	半	bàn₁	Middle_Chinese		"Half" [Yi].	puânᶜ		Schuessler2007
167	半	bàn₁	Old_Chinese		"Half" [Yi].	pâns		Schuessler2007
168	半	bàn₁	Late_Han_Chinese		"Half" [Yi].	pɑnᶜ		Schuessler2007
169	判	pàn	Middle_Chinese		"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰuânᶜ	判	Schuessler2007
170	判	pàn	Old_Chinese	⪤ bàn₁ 半	"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰâns	判	Schuessler2007
171	判	pàn	Late_Han_Chinese		"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰɑnᶜ	判	Schuessler2007
172	片	pàn	Middle_Chinese		"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰuânᶜ	判	Schuessler2007
173	片	pàn	Old_Chinese	⪤ bàn₁ 半	"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰâns	判	Schuessler2007
174	片	pàn	Late_Han_Chinese		"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰɑnᶜ	判	Schuessler2007
175	泮	pàn	Middle_Chinese		"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰuânᶜ	判	Schuessler2007
176	泮	pàn	Old_Chinese	⪤ bàn₁ 半	"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰâns	判	Schuessler2007
177	泮	pàn	Late_Han_Chinese		"To cleave" [Zhouli],/"divide" 判 [Zuo];/"one half, one of two parts" 片 [Zhuang] > semi-circular pool, shore’ 泮 [Shi], and additional specialized meanings based on ``half''.	pʰɑnᶜ	判	Schuessler2007
178	畔	pàn	Middle_Chinese		"Bank between fields, separate from" [Zuo],/"to separate from, rebel" [Lunyu].	buânᶜ		Schuessler2007
179	畔	pàn	Old_Chinese	⪤ bàn₁ 半	"Bank between fields, separate from" [Zuo],/"to separate from, rebel" [Lunyu].	bâns		Schuessler2007
180	畔	pàn	Late_Han_Chinese		"Bank between fields, separate from" [Zuo],/"to separate from, rebel" [Lunyu].	bɑnᶜ		Schuessler2007
181	釆	bàn₂,biàn	Middle_Chinese		"Discriminate, distinguish" [Shu].	bănᶜ,bjänᶜ 3 [Shiwen]  <wow value=' LH:' color='invert' gloss='Later Han'/> bɛnᶜ,bɨanᶜ		Schuessler2007
182	釆	bàn₂,biàn	Old_Chinese		"Discriminate, distinguish" [Shu].	brens		Schuessler2007
183	瓣	bàn	Middle_Chinese		"Sections of a fruit"  [SW].	bănᶜ		Schuessler2007
184	瓣	bàn	Late_Han_Chinese		"Sections of a fruit"  [SW].	bɛnᶜ		Schuessler2007
185	辨	biàn	Middle_Chinese		"Divide" [Zhouli],/"distinguish, discriminate" 辨 [Lunyu] (also MC bănᶜ), 辯 [Yi],/"dispute" [Meng].	bjänᴮ 3	辨	Schuessler2007
186	辨	biàn	Old_Chinese	⪤ bàn₂,biàn 釆	"Divide" [Zhouli],/"distinguish, discriminate" 辨 [Lunyu] (also MC bănᶜ), 辯 [Yi],/"dispute" [Meng].	banʔ or *brenʔ ?	辨	Schuessler2007
187	辨	biàn	Late_Han_Chinese		"Divide" [Zhouli],/"distinguish, discriminate" 辨 [Lunyu] (also MC bănᶜ), 辯 [Yi],/"dispute" [Meng].	bɨanᴮ	辨	Schuessler2007
188	辯	biàn	Middle_Chinese		"Divide" [Zhouli],/"distinguish, discriminate" 辨 [Lunyu] (also MC bănᶜ), 辯 [Yi],/"dispute" [Meng].	bjänᴮ 3	辨	Schuessler2007
189	辯	biàn	Old_Chinese	⪤ bàn₂,biàn 釆	"Divide" [Zhouli],/"distinguish, discriminate" 辨 [Lunyu] (also MC bănᶜ), 辯 [Yi],/"dispute" [Meng].	banʔ or *brenʔ ?	辨	Schuessler2007
